file,best_threshold,best_mwm_f1,row_number_1based,plot_label_all,plot_label_top,best_mwm_f1_percent
011_aspectRatio__le.csv,1.0,0.1854140914709518,101,aspect_ratio ≤,aspect_ratio,18.54140914709518
016_circularityRatio__le.csv,1.0,0.1851851851851851,101,circularity_ratio ≤,circularity_ratio,18.51851851851851
020_circularityDiff__ge.csv,0.0,0.1833952912019826,1,circularity_diff ≥,circularity_diff,18.33952912019826
015_aspectDiff__ge.csv,0.0,0.1763975155279503,1,aspect_diff ≥,aspect_diff,17.63975155279503
027_vertexCountMean__ge.csv,4.5,0.1763975155279503,1,vertex_count_mean ≥,vertex_count_mean,17.63975155279503
044_sharedEdgeUnionAxisAngleDegrees__ge.csv,57.0,0.1141439205955335,58,union_axis_shared_edge_angle ≥,union_axis_shared_edge_angle,11.41439205955335
048_junctionAngleDifferenceDegrees__ge.csv,1.0,0.0827067669172932,2,junction_angle_diff ≥,junction_angle_diff,8.27067669172932
033_unionAspectRatio__ge.csv,1.02,0.0728643216080402,2,union_aspect_ratio ≥,union_aspect_ratio,7.2864321608040195
042_sharedEdgeUnionCentroidDistance__ge.csv,0.0,0.0720496894409938,1,union_centroid_edge_distance ≥,union_centroid_edge_distance,7.20496894409938
043_sharedEdgeUnionCentroidDistanceNormalized__ge.csv,0.01,0.0700876095118898,2,union_centroid_edge_distance_normalized ≥,union_centroid_edge_distance_normalized,7.008760951188981
022_solidityMean__le.csv,1.0,0.0699588477366255,101,solidity_mean ≤,solidity_mean,6.99588477366255
021_solidityRatio__le.csv,1.0,0.0696721311475409,101,solidity_ratio ≤,solidity_ratio,6.96721311475409
023_solidityMin__le.csv,1.0,0.0696721311475409,101,solidity_min ≤,solidity_min,6.96721311475409
025_solidityDiff__ge.csv,0.0,0.0696721311475409,1,solidity_diff ≥,solidity_diff,6.96721311475409
049_junctionAngleRatio__le.csv,1.0,0.0525657071339174,101,junction_angle_ratio ≤,junction_angle_ratio,5.25657071339174
039_sharedEdgeUnsharedVerticesDistanceNormalized__ge.csv,0.6,0.0318237454100367,2,shared_edge_vertex_distance_normalized ≥,shared_edge_vertex_distance_normalized,3.18237454100367
041_centroidSharedEdgeDistanceNormalized__ge.csv,0.335,0.0269938650306748,1,centroid_shared_edge_distance_normalized ≥,centroid_shared_edge_distance_normalized,2.6993865030674797
032_centroidDistanceNormalized__ge.csv,0.69,0.0220588235294117,1,centroid_distance_normalized ≥,centroid_distance_normalized,2.20588235294117
037_sharedEdgeLength__le.csv,49.0,0.0219244823386114,46,shared_edge_length ≤,shared_edge_length,2.19244823386114
038_sharedEdgeUnsharedVerticesDistance__ge.csv,13.5,0.0198019801980198,1,shared_edge_vertex_distance ≥,shared_edge_vertex_distance,1.98019801980198
040_centroidSharedEdgeDistance__ge.csv,8.0,0.0174563591022443,3,centroid_shared_edge_distance ≥,centroid_shared_edge_distance,1.74563591022443
031_centroidDistance__ge.csv,15.0,0.0173267326732673,1,centroid_distance ≥,centroid_distance,1.73267326732673
036_normalizedSharedEdgeLength__le.csv,1.42,0.014760147601476,66,shared_edge_length_normalized ≤,shared_edge_length_normalized,1.4760147601476001
047_junctionAngleMinDegrees__le.csv,180.0,0.0146520146520146,181,junction_angle_min ≤,junction_angle_min,1.46520146520146
035_unionConvexDeficiency__ge.csv,0.0,0.0074719800747198,1,convex_deficiency ≥,convex_deficiency,0.7471980074719801
034_unionCircularity__le.csv,0.85,0.00734394124847,86,union_circularity ≤,union_circularity,0.7343941248470001
046_junctionAngleMaxDegrees__le.csv,173.0,0.0024783147459727,174,junction_angle_max ≤,junction_angle_max,0.24783147459727
045_junctionAngleAverageDegrees__le.csv,0.0,0.0,1,junction_angle_mean ≤,junction_angle_mean,0.0
