1,338.83334,938.50000
2,338.50000,906.16669
3,331.50000,872.83331
4,320.16666,835.83331
5,310.83334,800.83331
6,309.83334,760.50000
7,305.50000,725.50000
8,303.50000,699.00000
9,300.75000,669.75000
10,300.00000,638.00000
11,289.75000,597.50000
12,288.25000,559.00000
13,288.25000,528.25000
14,288.00000,492.50000
15,279.50000,448.75000
16,278.25000,414.25000
17,278.75000,363.75000
18,281.25000,316.00000
19,288.75000,279.75000
20,297.00000,235.50000
21,310.25000,193.50000
22,323.00000,167.25000
23,340.75000,130.00000
24,360.25000,100.25000
25,376.25000,82.75000
26,406.75000,59.50000
27,431.25000,41.00000
28,457.25000,25.75000
29,489.33331,20.50000
30,522.00000,20.83333
31,537.50000,25.50000
32,558.50000,30.83333
33,577.66663,40.16666
34,599.16663,49.83334
35,608.50000,59.66667
36,621.00000,73.33333
37,633.83337,87.33334
38,645.50000,102.33334
39,654.83337,113.50000
40,669.83337,133.83334
41,680.16663,154.16667
42,693.33337,172.83333
43,702.00000,190.66667
44,713.83337,215.33333
45,717.16663,228.66667
46,724.50000,248.50000
47,729.66663,274.33331
48,734.00000,300.50000
49,737.33337,319.66666
50,741.33337,338.00000
51,745.50000,367.83334
52,750.00000,383.16666
53,753.83337,401.00000
54,754.50000,415.83334
55,754.00000,444.33334
56,755.00000,467.16666
57,754.83337,490.16666
58,753.83337,515.50000
59,744.66663,552.33331
60,742.50000,572.66669
61,736.00000,600.66669
62,732.33337,621.33331
63,728.00000,650.83331
64,728.33337,679.33331
65,723.83337,714.83331
66,720.50000,749.16669
67,716.33337,784.16669
68,711.00000,834.16669
69,706.25000,860.75000
70,703.00000,895.00000
71,703.75000,923.00000
