file_name,first_cell_id,second_cell_id,divided,first_cell_centroid_x,first_cell_centroid_y,second_cell_centroid_x,second_cell_centroid_y
2025_04_25_IC_small_1,433,419,1,403.376,1033.09,385.035,1018.54
2025_04_25_IC_small_1,122,127,1,618.684,558.429,600.791,572.193
2025_04_25_IC_small_1,345,350,1,831.861,913.395,810.941,922.899
2025_04_25_IC_small_1,346,335,1,910.824,914.525,897.038,890.982
2025_04_25_IC_small_1,249,251,1,765.75,762.992,791.958,776.218
2025_04_25_IC_small_1,323,320,1,842.477,877.218,870.283,871.665
2025_04_25_IC_small_1,517,530,1,627.602,1156.61,625.137,1187.21
2025_04_25_IC_small_1,455,471,1,397.891,1061.3,387.698,1085.6
2025_04_25_IC_small_1,192,216,1,747.863,694.22,736.872,718.481
2025_04_25_IC_small_1,354,353,1,680.293,920.004,698.328,918.288
2025_04_25_IC_small_1,508,516,1,901.059,1157.36,914.364,1173.93
2025_04_25_IC_small_1,562,570,1,790.103,1305.55,759.549,1338.38
2025_04_25_IC_small_1,576,579,1,780.188,1358.04,760.217,1393.79
2025_04_25_IC_small_1,412,437,1,739.284,1005.28,737.472,1053.08
2025_04_25_IC_small_1,328,326,1,698.003,878.334,674.594,878.024
2025_04_25_IC_small_1,282,293,1,560.161,811.561,541.556,823.049
2025_04_25_IC_small_1,575,577,1,729.748,1351.82,705.061,1359.43
2025_04_25_IC_small_1,15,21,1,728.66,270.35,730.398,288.107
2025_04_25_IC_small_1,404,415,1,632.394,988.019,642.124,1006.01
2025_04_25_IC_small_1,254,274,1,413.654,772.992,406.878,793.656
2025_04_25_IC_small_1,327,312,1,538.367,870.47,539.398,849.272
2025_04_25_IC_small_1,98,105,1,510.097,520.726,533.268,528.321
2025_04_25_IC_small_1,45,49,1,593.314,366.943,593.568,388.725
2025_04_25_IC_small_1,171,182,1,841.906,654.931,869.103,678.545
2025_04_25_IC_small_1,566,568,1,823.599,1305,815.296,1323.66
2025_04_25_IC_small_1,510,522,1,501.167,1143.49,500.37,1171.78
2025_04_25_IC_small_1,332,333,1,444.217,879.492,419.863,887.967
2025_04_25_IC_small_1,580,583,1,801.434,1402.45,781.496,1444.22
2025_04_25_IC_small_1,557,546,1,693.517,1267.53,701.816,1241.74
2025_04_25_IC_small_1,119,123,1,663.707,554.731,647.512,568.644
2025_04_25_IC_small_1,208,213,1,906.145,712.195,927.987,726.347
2025_04_25_IC_small_1,42,48,1,649.985,358.503,650.88,380.929
2025_04_25_IC_small_1,366,359,1,426.421,931.941,416.764,913.661
2025_04_25_IC_small_1,157,166,1,601.369,630.362,618.044,650.772
2025_04_25_IC_small_1,162,173,1,494.456,633.107,494.036,651.612
2025_04_25_IC_small_1,482,463,1,406.746,1096.75,413.741,1073.74
2025_04_25_IC_small_1,262,267,1,466.907,780.295,442.895,790.414
2025_04_25_IC_small_1,51,58,1,673.787,389.524,675.583,413.136
2025_04_25_IC_small_1,375,396,1,920.701,949.433,919.657,982.247
2025_04_25_IC_small_1,170,178,1,576.698,651.27,596.385,668.009
2025_04_25_IC_small_1,470,466,1,446.725,1084.18,429.412,1087.64
2025_04_25_IC_small_1,29,32,1,652.647,326.107,634.086,334.804
2025_04_25_IC_small_1,315,316,1,785.983,858.192,810.132,868.551
2025_04_25_IC_small_1,365,367,1,757.592,933.575,787.744,944.336
2025_04_25_IC_small_1,78,81,1,639.893,467.384,616.347,475.597
2025_04_25_IC_small_1,132,154,1,846.19,592.11,864.919,633.195
2025_04_25_IC_small_1,280,283,1,808.049,817.58,786.924,818.643
2025_04_25_IC_small_1,443,447,1,444.305,1052.26,423.282,1050.89
2025_04_25_IC_small_1,478,498,1,484.762,1096.05,487.316,1122.13
2025_04_25_IC_small_1,355,349,1,375.084,916.157,358.729,907.161
2025_04_25_IC_small_1,169,174,1,687.759,653.888,669.048,657.952
2025_04_25_IC_small_1,441,444,1,482.644,1053.59,508.354,1057.51
2025_04_25_IC_small_1,555,563,1,654.226,1267.21,654.781,1295.99
2025_04_25_IC_small_1,158,164,1,545.784,631.707,524.251,639.387
2025_04_25_IC_small_1,191,209,1,625.039,688.277,615.526,710.494
2025_04_25_IC_small_1,62,71,1,576.768,420.614,577.194,441.928
2025_04_25_IC_small_1,130,144,1,789.565,579.073,788.458,604.898
2025_04_25_IC_small_1,185,199,1,498.369,676.385,511.206,698.671
2025_04_25_IC_small_1,151,155,1,587.437,610.952,572.823,624.852
2025_04_25_IC_small_1,31,37,1,580.771,334.955,600.833,349.23
2025_04_25_IC_small_1,369,377,1,554.585,936.651,540.984,952.508
2025_04_25_IC_small_1,385,408,1,689.516,960.952,683.16,992.506
2025_04_25_IC_small_1,578,571,1,807.918,1359.43,834.039,1345.27
2025_04_25_IC_small_1,221,241,1,849.257,730.121,878.174,754.138
2025_04_25_IC_small_1,108,112,1,484.957,539.305,463.202,546.664
2025_04_25_IC_small_1,527,533,1,691.857,1181.34,700.937,1204.93
2025_04_25_IC_small_1,129,150,1,811.147,585.41,822.202,621.82
2025_04_25_IC_small_1,308,319,1,648.386,858.221,628.379,873.997
2025_04_25_IC_small_1,19,25,1,668.347,292.136,676.982,310.189
2025_04_25_IC_small_1,567,556,1,622.036,1312.58,626.468,1275.27
2025_04_25_IC_small_1,41,53,1,563.867,367.185,559.613,401.641
2025_04_25_IC_small_1,197,215,1,546.796,691.114,548.178,719.585
2025_04_25_IC_small_1,281,284,1,464.529,805.988,476.588,822.443
2025_04_25_IC_small_1,336,348,1,490.349,889.956,505.133,906.777
