1,289.75000,873.50000
2,290.75000,858.25000
3,289.25000,837.25000
4,285.25000,809.25000
5,284.75000,785.00000
6,280.75000,748.00000
7,272.50000,719.00000
8,267.50000,693.50000
9,261.25000,664.25000
10,256.25000,628.75000
11,253.75000,607.25000
12,247.25000,582.00000
13,243.00000,558.50000
14,232.00000,533.25000
15,226.50000,509.00000
16,225.75000,485.25000
17,225.50000,463.50000
18,222.00000,431.50000
19,220.50000,404.00000
20,221.75000,377.25000
21,226.00000,358.75000
22,223.75000,325.50000
23,225.25000,295.00000
24,228.25000,274.00000
25,234.50000,251.75000
26,241.00000,239.25000
27,248.50000,215.50000
28,257.75000,195.75000
29,267.00000,181.00000
30,278.25000,165.75000
31,292.00000,148.75000
32,308.50000,133.75000
33,326.00000,114.00000
34,351.25000,94.75000
35,370.75000,84.25000
36,394.00000,72.25000
37,414.25000,63.75000
38,441.75000,53.50000
39,467.00000,41.50000
40,493.75000,39.25000
41,525.25000,39.00000
42,553.00000,40.50000
43,586.75000,46.75000
44,613.25000,54.50000
45,628.25000,63.25000
46,649.00000,77.75000
47,666.50000,86.50000
48,680.25000,100.50000
49,691.25000,113.50000
50,699.25000,128.50000
51,708.25000,148.25000
52,716.75000,167.75000
53,728.50000,193.50000
54,742.25000,212.00000
55,752.50000,237.25000
56,758.25000,261.50000
57,762.25000,283.00000
58,765.75000,300.25000
59,773.25000,324.25000
60,775.25000,346.50000
61,775.75000,372.25000
62,775.00000,387.50000
63,774.00000,420.75000
64,772.50000,437.50000
65,769.75000,465.75000
66,767.75000,497.75000
67,762.50000,520.50000
68,763.50000,549.00000
69,761.50000,585.50000
70,758.50000,627.50000
71,754.00000,662.00000
72,750.00000,699.00000
73,740.50000,749.50000
74,737.83331,774.16669
75,734.83331,810.83331
76,734.16669,834.83331
77,732.83331,863.50000
