file,order,feature,feature_type,op,best_threshold,best_mwm_f1,best_mwm_precision,best_mwm_recall,best_mwm_specificity,best_mwm_accuracy,best_mwm_balanced_accuracy,best_mwm_TP,best_mwm_FP,best_mwm_TN,best_mwm_FN,best_threshold_only_threshold,best_threshold_only_f1,best_threshold_only_precision,best_threshold_only_recall,n_analyzed_rows,skipped_exception,skipped_missing_observed
001_areaRatio__ge.csv,1,areaRatio,ratio,>=,0.0,0.3114241001564945,0.27600554785020803,0.35727109515260325,0.8383650719925685,0.7675954047273208,0.5978180835725859,398,1044,5415,716,0.45,0.27056463169962736,0.16098226466575716,0.8473967684021544,7573,51,0
002_areaMean__le.csv,2,areaMean,continuous,<=,1050.0,0.35966219572776953,0.40266963292547275,0.3249551166965889,0.9168601950766373,0.8297900435758616,0.6209076558866131,362,537,5922,752,850.0,0.33071690214547356,0.23338257016248154,0.5673249551166966,7573,51,0
003_areaMin__ge.csv,3,areaMin,continuous,>=,100.0,0.2877526753864447,0.2576295244854507,0.3258527827648115,0.8380554265366156,0.7627096263039747,0.5819541046507135,363,1046,5413,751,100.0,0.25485212569316085,0.14624767966056748,0.9901256732495511,7573,51,0
004_areaMax__le.csv,4,areaMax,continuous,<=,1450.0,0.39347234814143245,0.3974358974358974,0.3895870736086176,0.8981266449914848,0.8233196883665654,0.6438568593000512,434,658,5801,680,1050.0,0.3381742738589212,0.23778264040846098,0.585278276481149,7573,51,0
005_areaDiff__le.csv,5,areaDiff,continuous,<=,2050.0,0.35808197989172474,0.31453804347826086,0.4156193895870736,0.8437838674717448,0.7808002112769048,0.6297016285294093,463,1009,5450,651,350.0,0.3057942278034809,0.20262773722627736,0.6229802513464991,7573,51,0
006_perimeterRatio__ge.csv,6,perimeterRatio,ratio,>=,0.14,0.3496719413353917,0.3067027758970887,0.4066427289048474,0.8414615265520978,0.7774990096395088,0.6240521277284726,453,1024,5435,661,0.77,0.28537536010845616,0.17589304365991226,0.755834829443447,7573,51,0
007_perimeterMean__le.csv,7,perimeterMean,continuous,<=,120.0,0.3580645161290323,0.44638069705093836,0.2989228007181329,0.9360582133457191,0.8423346097979665,0.617490507031926,333,413,6046,781,114.0,0.3182669162877775,0.22666666666666666,0.5341113105924596,7573,51,0
008_perimeterMin__ge.csv,8,perimeterMin,continuous,>=,52.0,0.3271726307510814,0.29111266620014,0.3734290843806104,0.843164576559839,0.774065759936617,0.6082968304702248,416,1013,5446,698,52.0,0.2537988632409233,0.1457306513920341,0.9820466786355476,7573,51,0
009_perimeterMax__le.csv,9,perimeterMax,continuous,<=,152.0,0.4099099099099099,0.41139240506329117,0.40843806104129265,0.89921040408732,0.8270170342004489,0.6538242325643063,455,651,5808,659,120.0,0.3359123146357189,0.2620724346076459,0.46768402154398564,7573,51,0
010_perimeterDiff__le.csv,10,perimeterDiff,continuous,<=,122.0,0.35907335907335913,0.3150406504065041,0.41741472172351884,0.8434742220157919,0.7808002112769048,0.6304444718696554,465,1011,5448,649,30.0,0.3032670454545454,0.18902169101372288,0.7666068222621185,7573,51,0
011_aspectRatio__ge.csv,11,aspectRatio,ratio,>=,0.33,0.3142087023488641,0.275118004045853,0.36624775583482944,0.8335655674252981,0.7648223953519081,0.5999066616300638,408,1075,5384,706,0.78,0.2789513108614232,0.16741593238626146,0.8357271095152603,7573,51,0
012_aspectMean__le.csv,12,aspectMean,continuous,<=,1.78,0.2788499409216227,0.24842105263157896,0.3177737881508079,0.8341848583372039,0.7582199920771161,0.5759793232440059,354,1071,5388,760,1.21,0.26131779471089195,0.1741338112305854,0.5233393177737882,7573,51,0
013_aspectMin__ge.csv,13,aspectMin,continuous,>=,1.0,0.28537074148296593,0.25778421433743665,0.31956912028725315,0.8413067038241214,0.7645582992209164,0.5804379120556873,356,1025,5434,758,1.0,0.25647519281685277,0.1471015449623663,1.0,7573,51,0
014_aspectMax__le.csv,14,aspectMax,continuous,<=,2.22,0.3168548073180226,0.2797250859106529,0.3653500897666068,0.8377457810806627,0.7682556450547999,0.6015479354236347,407,1048,5411,707,1.4,0.26486581301526047,0.1645955962502725,0.677737881508079,7573,51,0
015_aspectDiff__le.csv,15,aspectDiff,continuous,<=,0.6,0.3092053501180173,0.27521008403361347,0.3527827648114901,0.8397584765443568,0.7681235969893041,0.5962706206779235,393,1035,5424,721,0.24,0.2761477390403866,0.17094017094017094,0.718132854578097,7573,51,0
016_circularityRatio__ge.csv,16,circularityRatio,ratio,>=,0.43,0.2708333333333333,0.2374830852503383,0.31508078994614,0.8255147855705217,0.7504291562128614,0.5702977877583308,351,1127,5332,763,0.47,0.25656379548595115,0.14715984147952443,1.0,7573,51,0
017_circularityMean__le.csv,17,circularityMean,ratio,<=,0.84,0.31063829787234043,0.2953074433656958,0.3276481149012567,0.8651494039324973,0.7860821338967384,0.596398759416877,365,871,5588,749,0.78,0.2751643904906424,0.19154929577464788,0.4883303411131059,7573,51,0
018_circularityMin__ge.csv,18,circularityMin,ratio,>=,0.34,0.27269215913480105,0.2393220338983051,0.31687612208258525,0.826288899210404,0.7513534926713323,0.5715825106464947,353,1122,5337,761,0.0,0.25647519281685277,0.1471015449623663,1.0,7573,51,0
