order,feature,feature_type,range_start,range_end,step,op,output_csv,status,error,elapsed_sec
32,centroidDistanceNormalized,continuous,0.6900000000000001,1.57,0.01,>=,032_centroidDistanceNormalized__ge.csv,ok,,59.654
32,centroidDistanceNormalized,continuous,0.6900000000000001,1.57,0.01,<=,032_centroidDistanceNormalized__le.csv,ok,,80.824
33,unionAspectRatio,continuous,1.0,2.48,0.02,>=,033_unionAspectRatio__ge.csv,ok,,29.947
33,unionAspectRatio,continuous,1.0,2.48,0.02,<=,033_unionAspectRatio__le.csv,ok,,105.205
34,unionCircularity,ratio,0.0,1.0,0.01,>=,034_unionCircularity__ge.csv,ok,,110.663
34,unionCircularity,ratio,0.0,1.0,0.01,<=,034_unionCircularity__le.csv,ok,,73.914
35,unionConvexDeficiency,ratio,0.0,1.0,0.01,>=,035_unionConvexDeficiency__ge.csv,ok,,68.298
35,unionConvexDeficiency,ratio,0.0,1.0,0.01,<=,035_unionConvexDeficiency__le.csv,ok,,91.781
36,normalizedSharedEdgeLength,continuous,0.12,1.46,0.02,>=,036_normalizedSharedEdgeLength__ge.csv,ok,,58.94
36,normalizedSharedEdgeLength,continuous,0.12,1.46,0.02,<=,036_normalizedSharedEdgeLength__le.csv,ok,,49.875
37,sharedEdgeLength,continuous,4.0,59.0,1.0,>=,037_sharedEdgeLength__ge.csv,ok,,22.654
37,sharedEdgeLength,continuous,4.0,59.0,1.0,<=,037_sharedEdgeLength__le.csv,ok,,44.768
38,sharedEdgeUnsharedVerticesDistance,continuous,13.5,58.0,0.5,>=,038_sharedEdgeUnsharedVerticesDistance__ge.csv,ok,,38.262
38,sharedEdgeUnsharedVerticesDistance,continuous,13.5,58.0,0.5,<=,038_sharedEdgeUnsharedVerticesDistance__le.csv,ok,,77.488
39,sharedEdgeUnsharedVerticesDistanceNormalized,continuous,0.59,1.2,0.01,>=,039_sharedEdgeUnsharedVerticesDistanceNormalized__ge.csv,ok,,50.175
39,sharedEdgeUnsharedVerticesDistanceNormalized,continuous,0.59,1.2,0.01,<=,039_sharedEdgeUnsharedVerticesDistanceNormalized__le.csv,ok,,66.713
40,centroidSharedEdgeDistance,continuous,7.0,37.5,0.5,>=,040_centroidSharedEdgeDistance__ge.csv,ok,,33.936
40,centroidSharedEdgeDistance,continuous,7.0,37.5,0.5,<=,040_centroidSharedEdgeDistance__le.csv,ok,,63.151
41,centroidSharedEdgeDistanceNormalized,continuous,0.335,0.775,0.005,>=,041_centroidSharedEdgeDistanceNormalized__ge.csv,ok,,53.652
41,centroidSharedEdgeDistanceNormalized,continuous,0.335,0.775,0.005,<=,041_centroidSharedEdgeDistanceNormalized__le.csv,ok,,71.648
42,sharedEdgeUnionCentroidDistance,continuous,0.0,24.5,0.5,>=,042_sharedEdgeUnionCentroidDistance__ge.csv,ok,,16.662
42,sharedEdgeUnionCentroidDistance,continuous,0.0,24.5,0.5,<=,042_sharedEdgeUnionCentroidDistance__le.csv,ok,,54.44
43,sharedEdgeUnionCentroidDistanceNormalized,continuous,0.0,0.71,0.01,>=,043_sharedEdgeUnionCentroidDistanceNormalized__ge.csv,ok,,21.932
43,sharedEdgeUnionCentroidDistanceNormalized,continuous,0.0,0.71,0.01,<=,043_sharedEdgeUnionCentroidDistanceNormalized__le.csv,ok,,72.923
44,sharedEdgeUnionAxisAngleDegrees,angle,0.0,180.0,1.0,>=,044_sharedEdgeUnionAxisAngleDegrees__ge.csv,ok,,95.135
44,sharedEdgeUnionAxisAngleDegrees,angle,0.0,180.0,1.0,<=,044_sharedEdgeUnionAxisAngleDegrees__le.csv,ok,,192.279
