seed,inference_engine,best_threshold,precision,recall,f1,pred_pos,TP,FP,FN,TN,analysis_rows,excluded_exception_rows,exception_column,exception_positive_value,random_scope,operator,threshold_min,threshold_max,threshold_count
41,estimate_by_single_threshold.py,0.06,0.18966737438075018,0.24057450628366248,0.21210922041946975,1413,268,1145,846,5314,7573,51,exception_label,1,pair,>=,0.05,0.95,91
42,estimate_by_single_threshold.py,0.05,0.20311394196744514,0.25763016157989227,0.2271468144044321,1413,287,1126,827,5333,7573,51,exception_label,1,pair,>=,0.05,0.95,91
43,estimate_by_single_threshold.py,0.06,0.20619282195636876,0.263016157989228,0.23116370808678502,1421,293,1128,821,5331,7573,51,exception_label,1,pair,>=,0.05,0.95,91
44,estimate_by_single_threshold.py,0.05,0.21323011963406052,0.2719928186714542,0.2390532544378698,1421,303,1118,811,5341,7573,51,exception_label,1,pair,>=,0.05,0.95,91
45,estimate_by_single_threshold.py,0.08,0.20254957507082152,0.25673249551166966,0.2264449722882027,1412,286,1126,828,5333,7573,51,exception_label,1,pair,>=,0.05,0.95,91
46,estimate_by_single_threshold.py,0.06,0.20099079971691436,0.25493716337522443,0.22477245745943808,1413,284,1129,830,5330,7573,51,exception_label,1,pair,>=,0.05,0.95,91
47,estimate_by_single_threshold.py,0.07,0.2117148906139732,0.26929982046678635,0.2370604504148558,1417,300,1117,814,5342,7573,51,exception_label,1,pair,>=,0.05,0.95,91
48,estimate_by_single_threshold.py,0.06,0.19859154929577466,0.25314183123877915,0.22257300710339384,1420,282,1138,832,5321,7573,51,exception_label,1,pair,>=,0.05,0.95,91
49,estimate_by_single_threshold.py,0.05,0.20042342978122796,0.25493716337522443,0.22441722639273015,1417,284,1133,830,5326,7573,51,exception_label,1,pair,>=,0.05,0.95,91
50,estimate_by_single_threshold.py,0.05,0.19562146892655366,0.24865350089766608,0.21897233201581026,1416,277,1139,837,5320,7573,51,exception_label,1,pair,>=,0.05,0.95,91
51,estimate_by_single_threshold.py,0.07,0.2076002814919071,0.26481149012567323,0.232741617357002,1421,295,1126,819,5333,7573,51,exception_label,1,pair,>=,0.05,0.95,91
52,estimate_by_single_threshold.py,0.06,0.2084507042253521,0.26570915619389585,0.2336227308602999,1420,296,1124,818,5335,7573,51,exception_label,1,pair,>=,0.05,0.95,91
53,estimate_by_single_threshold.py,0.07,0.18265813788201848,0.23070017953321365,0.20388734629115435,1407,257,1150,857,5309,7573,51,exception_label,1,pair,>=,0.05,0.95,91
54,estimate_by_single_threshold.py,0.07,0.21448863636363635,0.2710951526032316,0.23949246629659002,1408,302,1106,812,5353,7573,51,exception_label,1,pair,>=,0.05,0.95,91
55,estimate_by_single_threshold.py,0.08,0.1962025316455696,0.2504488330341113,0.2200315457413249,1422,279,1143,835,5316,7573,51,exception_label,1,pair,>=,0.05,0.95,91
56,estimate_by_single_threshold.py,0.09,0.18926553672316385,0.24057450628366248,0.21185770750988142,1416,268,1148,846,5311,7573,51,exception_label,1,pair,>=,0.05,0.95,91
57,estimate_by_single_threshold.py,0.06,0.20324629498941427,0.2585278276481149,0.22757803239826155,1417,288,1129,826,5330,7573,51,exception_label,1,pair,>=,0.05,0.95,91
58,estimate_by_single_threshold.py,0.06,0.21297602256699577,0.2710951526032316,0.23854660347551343,1418,302,1116,812,5343,7573,51,exception_label,1,pair,>=,0.05,0.95,91
59,estimate_by_single_threshold.py,0.1,0.2,0.25224416517055653,0.22310440651052005,1405,281,1124,833,5335,7573,51,exception_label,1,pair,>=,0.05,0.95,91
60,estimate_by_single_threshold.py,0.05,0.23044692737430167,0.296229802513465,0.25923016496465046,1432,330,1102,784,5357,7573,51,exception_label,1,pair,>=,0.05,0.95,91
61,estimate_by_single_threshold.py,0.05,0.20892351274787535,0.26481149012567323,0.23357086302454474,1412,295,1117,819,5342,7573,51,exception_label,1,pair,>=,0.05,0.95,91
62,estimate_by_single_threshold.py,0.05,0.21308016877637131,0.2719928186714542,0.2389589905362776,1422,303,1119,811,5340,7573,51,exception_label,1,pair,>=,0.05,0.95,91
63,estimate_by_single_threshold.py,0.1,0.2068230277185501,0.2612208258527828,0.23086076953589846,1407,291,1116,823,5343,7573,51,exception_label,1,pair,>=,0.05,0.95,91
64,estimate_by_single_threshold.py,0.13,0.18911174785100288,0.236983842010772,0.2103585657370518,1396,264,1132,850,5327,7573,51,exception_label,1,pair,>=,0.05,0.95,91
65,estimate_by_single_threshold.py,0.05,0.211781206171108,0.2710951526032316,0.23779527559055116,1426,302,1124,812,5335,7573,51,exception_label,1,pair,>=,0.05,0.95,91
66,estimate_by_single_threshold.py,0.05,0.2222222222222222,0.2836624775583483,0.24921135646687698,1422,316,1106,798,5353,7573,51,exception_label,1,pair,>=,0.05,0.95,91
67,estimate_by_single_threshold.py,0.05,0.20042194092827004,0.25583482944344704,0.2247634069400631,1422,285,1137,829,5322,7573,51,exception_label,1,pair,>=,0.05,0.95,91
68,estimate_by_single_threshold.py,0.05,0.21932299012693934,0.2791741472172352,0.2456556082148499,1418,311,1107,803,5352,7573,51,exception_label,1,pair,>=,0.05,0.95,91
69,estimate_by_single_threshold.py,0.05,0.2157968970380818,0.2746858168761221,0.24170616113744076,1418,306,1112,808,5347,7573,51,exception_label,1,pair,>=,0.05,0.95,91
70,estimate_by_single_threshold.py,0.11,0.21086490350250178,0.26481149012567323,0.23477914842817346,1399,295,1104,819,5355,7573,51,exception_label,1,pair,>=,0.05,0.95,91
71,estimate_by_single_threshold.py,0.08,0.19645390070921986,0.24865350089766608,0.21949286846275753,1410,277,1133,837,5326,7573,51,exception_label,1,pair,>=,0.05,0.95,91
72,estimate_by_single_threshold.py,0.06,0.20396600566572237,0.2585278276481149,0.22802850356294535,1412,288,1124,826,5335,7573,51,exception_label,1,pair,>=,0.05,0.95,91
73,estimate_by_single_threshold.py,0.05,0.20211267605633804,0.25763016157989227,0.2265193370165746,1420,287,1133,827,5326,7573,51,exception_label,1,pair,>=,0.05,0.95,91
74,estimate_by_single_threshold.py,0.05,0.21940928270042195,0.2800718132854578,0.24605678233438488,1422,312,1110,802,5349,7573,51,exception_label,1,pair,>=,0.05,0.95,91
75,estimate_by_single_threshold.py,0.21,0.20437956204379562,0.2513464991023339,0.2254428341384863,1370,280,1090,834,5369,7573,51,exception_label,1,pair,>=,0.05,0.95,91
76,estimate_by_single_threshold.py,0.25,0.18463810930576072,0.2244165170556553,0.20259319286871963,1354,250,1104,864,5355,7573,51,exception_label,1,pair,>=,0.05,0.95,91
77,estimate_by_single_threshold.py,0.05,0.2157968970380818,0.2746858168761221,0.24170616113744076,1418,306,1112,808,5347,7573,51,exception_label,1,pair,>=,0.05,0.95,91
78,estimate_by_single_threshold.py,0.07,0.2028169014084507,0.2585278276481149,0.22730860299921074,1420,288,1132,826,5327,7573,51,exception_label,1,pair,>=,0.05,0.95,91
79,estimate_by_single_threshold.py,0.05,0.21030345800988004,0.26750448833034113,0.23548004741209008,1417,298,1119,816,5340,7573,51,exception_label,1,pair,>=,0.05,0.95,91
80,estimate_by_single_threshold.py,0.05,0.21004243281471005,0.2666068222621185,0.23496835443037978,1414,297,1117,817,5342,7573,51,exception_label,1,pair,>=,0.05,0.95,91
81,estimate_by_single_threshold.py,0.08,0.19858657243816255,0.25224416517055653,0.22222222222222224,1415,281,1134,833,5325,7573,51,exception_label,1,pair,>=,0.05,0.95,91
82,estimate_by_single_threshold.py,0.06,0.2117148906139732,0.26929982046678635,0.2370604504148558,1417,300,1117,814,5342,7573,51,exception_label,1,pair,>=,0.05,0.95,91
83,estimate_by_single_threshold.py,0.05,0.2059238363892807,0.2621184919210054,0.23064770932069512,1418,292,1126,822,5333,7573,51,exception_label,1,pair,>=,0.05,0.95,91
84,estimate_by_single_threshold.py,0.06,0.19501779359430604,0.2459605026929982,0.21754664549424377,1405,274,1131,840,5328,7573,51,exception_label,1,pair,>=,0.05,0.95,91
85,estimate_by_single_threshold.py,0.05,0.18639262934089298,0.23608617594254938,0.2083168316831683,1411,263,1148,851,5311,7573,51,exception_label,1,pair,>=,0.05,0.95,91
86,estimate_by_single_threshold.py,0.05,0.2044975404075896,0.2612208258527828,0.22940480882932598,1423,291,1132,823,5327,7573,51,exception_label,1,pair,>=,0.05,0.95,91
87,estimate_by_single_threshold.py,0.05,0.20930232558139536,0.2666068222621185,0.23450454007106197,1419,297,1122,817,5337,7573,51,exception_label,1,pair,>=,0.05,0.95,91
88,estimate_by_single_threshold.py,0.05,0.23298245614035087,0.2980251346499102,0.26152028357621115,1425,332,1093,782,5366,7573,51,exception_label,1,pair,>=,0.05,0.95,91
89,estimate_by_single_threshold.py,0.05,0.21133659902029392,0.2710951526032316,0.2375147463625639,1429,302,1127,812,5332,7573,51,exception_label,1,pair,>=,0.05,0.95,91
90,estimate_by_single_threshold.py,0.05,0.20084269662921347,0.25673249551166966,0.22537431048069345,1424,286,1138,828,5321,7573,51,exception_label,1,pair,>=,0.05,0.95,91
91,estimate_by_single_threshold.py,0.05,0.22708039492242596,0.289048473967684,0.25434439178515006,1418,322,1096,792,5363,7573,51,exception_label,1,pair,>=,0.05,0.95,91
92,estimate_by_single_threshold.py,0.05,0.19174247725682295,0.2459605026929982,0.2154935116004719,1429,274,1155,840,5304,7573,51,exception_label,1,pair,>=,0.05,0.95,91
93,estimate_by_single_threshold.py,0.1,0.19074733096085408,0.24057450628366248,0.2127828503374355,1405,268,1137,846,5322,7573,51,exception_label,1,pair,>=,0.05,0.95,91
94,estimate_by_single_threshold.py,0.07,0.22143864598025387,0.28186714542190305,0.2480252764612954,1418,314,1104,800,5355,7573,51,exception_label,1,pair,>=,0.05,0.95,91
95,estimate_by_single_threshold.py,0.07,0.19057665260196907,0.24326750448833034,0.21372239747634067,1422,271,1151,843,5308,7573,51,exception_label,1,pair,>=,0.05,0.95,91
96,estimate_by_single_threshold.py,0.05,0.18696883852691218,0.236983842010772,0.20902612826603323,1412,264,1148,850,5311,7573,51,exception_label,1,pair,>=,0.05,0.95,91
97,estimate_by_single_threshold.py,0.06,0.20801124385101896,0.26570915619389585,0.23334647221127314,1423,296,1127,818,5332,7573,51,exception_label,1,pair,>=,0.05,0.95,91
98,estimate_by_single_threshold.py,0.05,0.2205056179775281,0.28186714542190305,0.24743892828999214,1424,314,1110,800,5349,7573,51,exception_label,1,pair,>=,0.05,0.95,91
99,estimate_by_single_threshold.py,0.06,0.20521861777150915,0.2612208258527828,0.22985781990521328,1418,291,1127,823,5332,7573,51,exception_label,1,pair,>=,0.05,0.95,91
