term,value,unit
High-angle component above cutoff,1692.0,model-estimated count
Low-angle component above cutoff,142.0,model-estimated count
High-angle component below cutoff,162.0,model-estimated count
Low-angle component below cutoff,8911.0,model-estimated count
High-angle fraction above cutoff,92.26433789406228,percent
High-angle retention,91.26500417159542,percent
Component-separation score,91.76195030197017,percent
