real_division_pair
first_cell_index second_cell_index hour_ago_divided
0 1 2
2 6 12
8 12 2
3 4 6
14 16 6
5 7 6
11 17 12
19 25 12
27 29 10
20 23 4
26 22 10
15 18 12
