genotype,primordium_id,source_file,cell_1_id,cell_2_id,pair_centroid_x,pair_centroid_y,x_norm,y_norm,region,angle,junction_angle_mean
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,11,12,495.797327,151.2346075,0.40857827672336144,0.145691085815986,basal,2.2920288749141053,173.044537
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,14,17,655.6525194999999,166.624005,0.7437669028864888,0.17212623587189468,basal,51.60841927917783,173.165507
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,15,19,380.324919,175.45019100000002,0.16645265545354793,0.1872874240426051,basal,54.88066686436579,170.121301
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,16,22,611.166099,179.97754400000002,0.6504865912675206,0.1950642883357698,basal,82.29598745306436,151.861432
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,20,23,443.4097595,193.745625,0.29873062958888935,0.21871442065686322,basal,18.569012513963287,151.391743
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,21,30,504.22032,214.4975995,0.42623983283359945,0.25436114171036067,basal,89.79586878724224,166.028692
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,24,26,565.0222875,225.2607125,0.5537310180469925,0.27284948780862095,basal,9.470684695702657,148.466845
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,25,33,701.778469,240.818368,0.8404850225895747,0.2995736631806998,basal,50.33176011137067,150.449458
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,27,31,629.7663875000001,225.7332815,0.6894881717044703,0.2736612435922226,basal,15.519117686030727,164.193836
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,35,40,662.3054205,257.2780765,0.7577168829360222,0.3278473408262357,basal,60.9997675385995,158.470578
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,36,37,459.199126,268.769714,0.331838193893509,0.3475871104761266,basal,15.974493112395626,161.971702
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,41,47,393.945474,283.3233975,0.1950125980280083,0.3725867121297132,basal,87.4472403349721,177.064252
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,42,52,578.125629,299.082952,0.5812064535761282,0.39965769967303777,basal,77.04220144850177,146.37763
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,43,49,509.0905435,299.615766,0.4364518472107513,0.40057294135432453,basal,70.54750693481108,148.977352
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,46,56,747.841419,325.9245025,0.9370710432627588,0.4457647948468905,basal,69.51765291492667,168.804723
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,51,54,422.411774,323.124703,0.25470149420788957,0.4409554369815837,basal,51.08801375243687,167.893301
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,53,63,711.0488415,343.7410195,0.8599233866095325,0.47636913139539067,basal,80.19505730940361,172.93033
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,55,67,628.6257840000001,350.7935035,0.6870965239000872,0.4884835415148833,basal,82.38606820140468,166.041528
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,57,78,500.1494485,394.361973,0.4177039210247188,0.5633233153876929,apical,82.48829075534206,152.455024
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,58,61,371.25277,359.0932955,0.1474299317490477,0.5027405159645219,apical,24.858131780765873,161.810483
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,59,64,441.59282399999995,362.75632,0.29492083082947756,0.5090326792747469,apical,24.26975486881743,149.938806
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,62,71,587.0090345000001,384.14007349999997,0.5998334148817174,0.5457646392186668,apical,75.3595437135536,164.92106
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,65,66,316.079621,379.011812,0.0317414031177144,0.5369555638615298,apical,27.392122631392045,173.689908
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,72,76,392.2414125,411.5513045,0.19143947647875073,0.5928503035341267,apical,26.912503432760566,168.477359
