fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
right,267,386,377,0,-1,0.538537,788.500000,552.000000,1025.000000,473.000000,0.755282,109.130538,93.915798,124.345279,30.429481,0.937500,1.240000,1.200000,1.280000,0.080000,0.944053,0.809754,0.786451,0.833058,0.046607,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,26.758173,0.964080,1.348837,0.679930,0.109068,0.856408,23.769729,22.264838,0.802188,13.375728,0.481919,7.323850,0.263874,62.845147,128.127136,164.357754,91.896518,72.461235,0.559125
right,268,386,369,0,-1,0.909756,978.750000,932.500000,1025.000000,92.500000,0.965891,122.224618,120.103958,124.345279,4.241320,0.848780,1.306897,1.200000,1.413793,0.213793,0.975144,0.822705,0.812352,0.833058,0.020706,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,40.050460,1.280539,1.750000,0.475368,0.229119,0.271301,8.485281,30.266013,0.967700,18.992079,0.607237,2.980083,0.095283,66.474208,88.285946,93.680622,82.891270,10.789352,0.884828
right,269,385,376,0,-1,0.432404,1014.500000,612.500000,1416.500000,804.000000,0.708262,122.319515,101.429683,143.209347,41.779663,0.874545,1.201632,1.121212,1.282051,0.160839,0.861990,0.808037,0.748145,0.867928,0.119783,1.000000,1.000000,1.000000,1.000000,0.000000,0.500000,6.000000,4.000000,8.000000,4.000000,30.302778,0.971474,1.300000,0.766262,0.051503,0.997439,31.112698,26.519588,0.850189,15.016681,0.481418,9.399223,0.301329,73.248176,160.374998,164.192916,156.557079,7.635837,0.953495
right,270,385,373,0,-1,0.518628,896.750000,612.500000,1181.000000,568.500000,0.778136,115.889593,101.429683,130.349502,28.919819,0.935399,1.084996,1.048780,1.121212,0.072432,0.856534,0.810801,0.748145,0.873456,0.125311,1.000000,1.000000,1.000000,1.000000,0.000000,0.500000,6.000000,4.000000,8.000000,4.000000,29.361231,0.993370,1.090909,0.694335,0.114580,0.873120,25.806976,23.627455,0.799380,14.322859,0.484581,6.756655,0.228596,69.398755,134.725967,146.546691,122.905243,23.641448,0.838676
right,271,384,367,0,-1,0.778684,817.750000,716.000000,919.500000,203.500000,0.969124,116.971363,115.137268,118.805458,3.668191,0.704981,1.667916,1.379310,1.956522,0.577211,0.829091,0.748676,0.678721,0.818632,0.139912,0.955304,0.977652,0.955304,1.000000,0.044696,1.000000,6.000000,6.000000,6.000000,0.000000,35.463483,1.242558,2.424242,0.531843,0.147356,0.654558,18.681542,28.458725,0.997127,17.654842,0.618584,2.057173,0.072079,83.540995,128.755957,158.838740,98.673174,60.165566,0.621216
right,272,383,382,0,-1,0.596968,763.750000,571.000000,956.500000,385.500000,0.801334,109.389528,97.325127,121.453929,24.128803,0.965854,1.119444,1.100000,1.138889,0.038889,0.929660,0.786181,0.757523,0.814839,0.057315,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,5.000000,4.000000,6.000000,2.000000,23.807320,0.868517,1.450000,0.778365,0.032079,1.126196,30.870698,19.134079,0.698032,11.744447,0.428450,4.915754,0.179332,47.253284,161.928263,166.711346,157.145180,9.566166,0.942618
right,273,383,368,0,-1,0.911134,914.000000,871.500000,956.500000,85.000000,0.937658,117.668070,113.882210,121.453929,7.571719,0.932927,1.100694,1.062500,1.138889,0.076389,0.964953,0.829636,0.814839,0.844434,0.029595,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,37.578713,1.243330,1.277778,0.461224,0.374453,0.201254,6.082763,30.519409,1.009765,18.519376,0.612732,0.488955,0.016178,82.838925,91.600574,104.713418,78.487729,26.225690,0.749548
right,274,383,366,0,-1,0.921484,997.250000,956.500000,1038.000000,81.500000,0.981687,122.586764,121.453929,123.719599,2.265670,0.996528,1.140873,1.138889,1.142857,0.003968,0.956184,0.833508,0.814839,0.852178,0.037339,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,35.610655,1.127895,1.339623,0.626268,0.125595,0.714575,22.561028,25.964067,0.822359,17.575161,0.556657,1.277921,0.040476,78.075917,120.521057,143.488944,97.553170,45.935774,0.679865
right,275,382,375,0,-1,0.622683,744.000000,571.000000,917.000000,346.000000,0.831236,107.204985,97.325127,117.084843,19.759717,0.987179,1.107143,1.100000,1.114286,0.014286,0.901194,0.799050,0.757523,0.840578,0.083054,1.000000,1.000000,1.000000,1.000000,0.000000,0.571429,5.500000,4.000000,7.000000,3.000000,23.436670,0.865179,1.217391,0.702522,0.125000,0.946221,25.632011,19.172510,0.707765,11.718335,0.432590,4.001528,0.147719,41.575964,129.048894,133.667780,124.430009,9.237771,0.930890
right,276,382,368,0,-1,0.655192,721.250000,571.000000,871.500000,300.500000,0.854612,105.603668,97.325127,113.882210,16.557084,0.965909,1.081250,1.062500,1.100000,0.037500,0.897079,0.800978,0.757523,0.844434,0.086910,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,5.000000,4.000000,6.000000,2.000000,28.455273,1.065406,1.722222,0.642000,0.135875,0.808249,21.587033,22.704189,0.850077,14.226798,0.532671,3.477343,0.130197,86.495159,131.386767,138.406444,124.367091,14.039353,0.898564
