fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
left,398,50,45,0,-1,0.672821,1223.250000,984.000000,1462.500000,478.500000,0.857513,137.764369,127.196661,148.332078,21.135417,0.994595,1.025000,1.022222,1.027778,0.005556,0.914993,0.799784,0.764282,0.835287,0.071005,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,43.234152,1.242157,1.509091,0.493758,0.272430,0.373502,13.000000,33.334664,0.957735,21.065577,0.605233,5.649227,0.162307,71.811115,107.089900,111.229945,102.949854,8.280091,0.925559
left,399,50,39,0,-1,0.988945,989.500000,984.000000,995.000000,11.000000,0.952001,124.144029,121.091397,127.196661,6.105264,0.827236,1.135101,1.027778,1.242424,0.214646,0.896287,0.808501,0.764282,0.852720,0.088438,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,29.931240,0.951521,1.581395,0.732502,0.074027,1.017784,32.015621,25.241942,0.802447,14.791543,0.470227,0.659223,0.020957,67.448703,162.332348,164.104732,160.559965,3.544766,0.978399
left,400,49,42,0,-1,0.678285,890.750000,720.000000,1061.500000,341.500000,0.812475,115.546571,103.591708,127.501433,23.909725,0.955927,1.351891,1.321429,1.382353,0.060924,0.973212,0.831833,0.820540,0.843126,0.022586,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,33.646872,1.132634,1.032787,0.551026,0.314903,0.497019,14.764823,26.972779,0.907968,16.806399,0.565744,3.703989,0.124685,86.389196,110.974753,142.125016,79.824489,62.300527,0.561650
left,401,49,41,0,-1,0.666050,900.500000,720.000000,1081.000000,361.000000,0.813138,115.494551,103.591708,127.397395,23.805686,0.994595,1.317857,1.314286,1.321429,0.007143,0.992709,0.840052,0.836979,0.843126,0.006147,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,29.456111,0.986616,1.326531,0.658549,0.145752,0.763791,22.803509,24.029097,0.804841,14.272539,0.478051,3.455484,0.115740,60.720992,125.093659,131.886561,118.300756,13.585805,0.896989
left,402,48,42,0,-1,0.723033,914.500000,767.500000,1061.500000,294.000000,0.899949,121.123120,114.744806,127.501433,12.756627,0.949468,1.347426,1.312500,1.382353,0.069853,0.892735,0.776532,0.732525,0.820540,0.088015,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,30.741341,1.019876,1.240000,0.713521,0.036085,1.041221,31.384710,23.481156,0.779012,14.506152,0.481257,2.999119,0.099499,64.141646,155.751699,163.474204,148.029195,15.445009,0.905520
left,403,47,44,0,-1,0.496061,1186.750000,787.000000,1586.500000,799.500000,0.751428,132.015205,113.278942,150.751468,37.472526,0.888889,1.083333,1.019608,1.147059,0.127451,0.878536,0.823979,0.770702,0.877257,0.106555,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,29.468206,0.868188,1.000000,0.826183,0.030546,1.090486,37.013511,23.617648,0.695819,14.725284,0.433834,8.887919,0.261854,89.813883,156.917898,158.629378,155.206419,3.422959,0.978422
left,404,46,41,0,-1,0.807620,1209.750000,1081.000000,1338.500000,257.500000,0.940876,131.400197,127.397395,135.402999,8.005604,0.778986,1.169048,1.023810,1.314286,0.290476,0.912311,0.877203,0.836979,0.917427,0.080449,1.000000,1.000000,1.000000,1.000000,0.000000,0.750000,7.000000,6.000000,8.000000,2.000000,38.696588,1.114147,1.396226,0.563881,0.211821,0.440431,15.297059,30.394194,0.875105,19.347588,0.557053,2.281348,0.065684,80.831131,103.803339,136.041627,71.565051,64.476575,0.526053
left,405,46,37,0,-1,0.378409,922.500000,506.500000,1338.500000,832.000000,0.700468,115.124258,94.845516,135.402999,40.557483,0.906803,1.076421,1.023810,1.129032,0.105223,0.771230,0.812487,0.707548,0.917427,0.209880,1.000000,1.000000,1.000000,1.000000,0.000000,0.500000,6.000000,4.000000,8.000000,4.000000,33.686741,1.140163,1.016667,0.614807,0.199187,0.610169,18.027756,26.377916,0.892789,16.457532,0.557023,9.625026,0.325769,74.047382,123.473042,130.815084,116.131001,14.684083,0.887749
left,406,46,36,0,-1,0.902503,1273.250000,1208.000000,1338.500000,130.500000,0.981258,134.134162,132.865324,135.402999,2.537675,0.868012,1.101648,1.023810,1.179487,0.155678,0.937307,0.888669,0.859911,0.917427,0.057516,1.000000,1.000000,1.000000,1.000000,0.000000,0.750000,7.000000,6.000000,8.000000,2.000000,42.346780,1.187152,1.322581,0.565862,0.194973,0.427002,15.231546,31.246168,0.875957,20.981778,0.588204,0.132999,0.003729,77.202688,102.686184,105.170665,100.201704,4.968961,0.952753
left,407,46,33,0,-1,0.421367,951.250000,564.000000,1338.500000,774.500000,0.720442,116.476524,97.550048,135.402999,37.852951,0.877551,1.095238,1.023810,1.166667,0.142857,0.811825,0.831109,0.744790,0.917427,0.172637,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,6.500000,5.000000,8.000000,3.000000,37.723402,1.250482,1.403846,0.578892,0.168463,0.492791,14.866069,29.064677,0.963456,18.825188,0.624030,9.867506,0.327095,88.126171,123.967210,125.957501,121.976920,3.980580,0.968397
