fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
right,1,387,386,0,-1,0.565430,1202.250000,868.500000,1536.000000,667.500000,0.810758,135.518157,121.355161,149.681154,28.325993,0.969697,1.083333,1.066667,1.100000,0.033333,0.860194,0.801300,0.741077,0.861523,0.120446,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,28.629276,0.833917,1.218182,0.822103,0.054689,1.155252,39.661064,25.689897,0.748299,14.306057,0.416709,6.596365,0.192140,81.026786,156.211114,157.439122,154.983107,2.456015,0.984400
right,2,387,382,0,-1,0.949219,1497.000000,1458.000000,1536.000000,78.000000,0.960282,146.708662,143.736169,149.681154,5.944985,0.779487,1.217544,1.066667,1.368421,0.301754,0.971475,0.874171,0.861523,0.886820,0.025297,1.000000,1.000000,1.000000,1.000000,0.000000,0.875000,7.500000,7.000000,8.000000,1.000000,44.981328,1.162675,1.508772,0.526117,0.240481,0.336023,13.000000,34.544299,0.892899,22.300220,0.576415,4.856268,0.125525,79.797911,85.770308,90.213789,81.326826,8.886963,0.901490
right,3,386,385,0,-1,0.831894,795.500000,722.500000,868.500000,146.000000,0.902607,115.445600,109.536040,121.355161,11.819121,0.725000,1.308621,1.100000,1.517241,0.417241,0.979331,0.748897,0.741077,0.756717,0.015641,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,35.015979,1.242810,1.695652,0.494084,0.321496,0.527636,14.866069,29.459307,1.045589,15.405083,0.546767,0.322046,0.011430,46.717976,129.750205,148.645951,110.854458,37.791493,0.745762
right,4,386,383,0,-1,0.858626,940.000000,868.500000,1011.500000,143.000000,0.955205,124.200702,121.355161,127.046243,5.691083,0.808163,1.230556,1.100000,1.361111,0.261111,0.941047,0.764290,0.741077,0.787503,0.046426,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,30.164181,0.984560,1.000000,0.570719,0.186436,0.733494,22.472205,25.923687,0.846151,15.081740,0.492269,4.153894,0.135583,73.639728,104.179632,123.763056,84.596209,39.166847,0.683534
right,5,386,382,0,-1,0.595679,1163.250000,868.500000,1458.000000,589.500000,0.844291,132.545665,121.355161,143.736169,22.381009,0.803846,1.234211,1.100000,1.368421,0.268421,0.835657,0.813948,0.741077,0.886820,0.145743,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,6.500000,5.000000,8.000000,3.000000,42.253350,1.249100,1.112676,0.543240,0.238556,0.489341,16.552945,30.344254,0.897041,19.775809,0.584615,5.152012,0.152305,60.551050,118.609775,123.690068,113.529482,10.160585,0.917854
right,6,385,384,0,-1,0.755358,839.500000,722.500000,956.500000,234.000000,0.872860,117.513503,109.536040,125.490967,15.954927,0.832995,1.669335,1.517241,1.821429,0.304187,0.991434,0.759986,0.756717,0.763255,0.006538,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,30.793960,1.065412,2.027027,0.662501,0.051519,0.978581,28.284271,24.353138,0.842572,14.380074,0.497523,2.908235,0.100619,61.349642,160.702176,167.471192,153.933160,13.538032,0.919162
right,7,385,383,0,-1,0.714286,867.000000,722.500000,1011.500000,289.000000,0.862175,118.291142,109.536040,127.046243,17.510203,0.897096,1.439176,1.361111,1.517241,0.156130,0.960907,0.772110,0.756717,0.787503,0.030786,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,25.679703,0.875194,1.340426,0.698819,0.100634,1.022435,30.000000,22.095863,0.753053,12.700596,0.432851,2.488274,0.084803,61.469269,129.474019,164.549333,94.398705,70.150628,0.573680
right,8,384,383,0,-1,0.945625,984.000000,956.500000,1011.500000,55.000000,0.987758,126.268605,125.490967,127.046243,1.555276,0.747277,1.591270,1.361111,1.821429,0.460317,0.969210,0.775379,0.763255,0.787503,0.024247,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,46.702153,1.488956,2.473684,0.451273,0.284807,0.293937,9.219544,34.817523,1.110051,21.715835,0.692343,2.704659,0.086230,54.337215,121.419458,144.708813,98.130102,46.578711,0.678121
right,9,384,381,0,-1,0.622060,775.750000,595.000000,956.500000,361.500000,0.795694,112.671660,99.852353,125.490967,25.638614,0.565657,1.425866,1.030303,1.821429,0.791126,0.982518,0.756584,0.749912,0.763255,0.013344,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,27.500139,0.994221,1.207547,0.599092,0.210119,0.812445,22.472205,22.606863,0.817313,12.181030,0.440385,3.674842,0.132858,33.293033,122.771539,128.140240,117.402838,10.737402,0.916206
right,10,384,380,0,-1,0.852065,885.750000,815.000000,956.500000,141.500000,0.926092,120.853602,116.216236,125.490967,9.274731,0.986607,1.833791,1.821429,1.846154,0.024725,0.993491,0.760771,0.758287,0.763255,0.004968,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,26.463576,0.889898,1.169811,0.593535,0.156929,0.807755,24.020824,21.267946,0.715183,11.873501,0.399273,1.318825,0.044348,33.216692,84.070756,85.837565,82.303948,3.533616,0.958834
right,11,383,382,0,-1,0.693759,1234.750000,1011.500000,1458.000000,446.500000,0.883885,135.391206,127.046243,143.736169,16.689926,0.994658,1.364766,1.361111,1.368421,0.007310,0.888008,0.837161,0.787503,0.886820,0.099317,1.000000,1.000000,1.000000,1.000000,0.000000,0.750000,7.000000,6.000000,8.000000,2.000000,46.298946,1.323057,2.302326,0.519212,0.221502,0.375864,13.152946,34.329984,0.981027,23.096879,0.660025,5.955435,0.170185,84.121439,117.102349,122.707462,111.497236,11.210226,0.908643
right,12,383,380,0,-1,0.805734,913.250000,815.000000,1011.500000,196.500000,0.914755,121.631240,116.216236,127.046243,10.830007,0.737269,1.603632,1.361111,1.846154,0.485043,0.962901,0.772895,0.758287,0.787503,0.029215,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,38.099564,1.262572,1.568627,0.558266,0.203668,0.671009,20.248457,26.031007,0.862635,16.604621,0.550257,4.459168,0.147771,58.027890,141.862418,150.737598,132.987239,17.750359,0.882243
right,13,383,378,0,-1,0.956995,989.750000,968.000000,1011.500000,43.500000,0.994926,126.723902,126.401561,127.046243,0.644683,0.889957,1.445261,1.361111,1.529412,0.168301,0.966781,0.774423,0.761343,0.787503,0.026160,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,25.683250,0.816420,1.067797,0.692399,0.108361,1.015725,31.953091,21.732853,0.690844,12.738187,0.404922,0.208054,0.006614,64.223734,105.962123,129.620298,82.303948,47.316350,0.634962
right,14,382,379,0,-1,0.645405,1199.500000,941.000000,1458.000000,517.000000,0.866987,134.176803,124.617436,143.736169,19.118733,0.781955,1.559211,1.368421,1.750000,0.381579,0.858631,0.824135,0.761451,0.886820,0.125369,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,6.500000,5.000000,8.000000,3.000000,34.720910,1.008457,1.415094,0.682196,0.107128,0.844296,29.068884,27.109574,0.787388,15.900250,0.461817,5.628385,0.163475,57.711085,123.816220,126.253838,121.378602,4.875236,0.961385
right,15,382,378,0,-1,0.663923,1213.000000,968.000000,1458.000000,490.000000,0.879400,135.068865,126.401561,143.736169,17.334609,0.894737,1.448916,1.368421,1.529412,0.160991,0.858509,0.824081,0.761343,0.886820,0.125477,1.000000,1.000000,1.000000,1.000000,0.000000,0.750000,7.000000,6.000000,8.000000,2.000000,39.147599,1.129858,1.629630,0.618738,0.103875,0.695077,24.083189,28.727115,0.829108,19.084646,0.550812,5.120818,0.147795,74.914846,131.314314,143.746162,118.882466,24.863697,0.827031
