file_name,first_cell_id,second_cell_id,divided,first_cell_centroid_x,first_cell_centroid_y,second_cell_centroid_x,second_cell_centroid_y
left,238,219,1,711.256,688.279,715.767,658.798
left,339,313,1,645.374,840.202,634.617,810.962
left,300,282,1,371.635,781.93,387.04,760.046
left,16,15,1,648.917,259.052,627.597,244.042
left,38,30,1,601.279,307.554,588.491,289.925
left,95,85,1,592.791,443.334,570.148,423.141
left,174,168,1,655.699,590.904,632.606,571.678
left,371,367,1,533.502,902.777,562.558,896.352
left,74,67,1,559.963,391.035,541.347,376.219
left,352,338,1,631.853,870.781,608.451,845.575
left,87,83,1,624.45,425.695,601.615,411.888
left,244,243,1,571.565,696.79,607.61,700.068
left,201,186,1,566.575,625.486,546.487,605.989
left,354,353,1,428.042,870.655,400.918,867.426
left,361,348,1,690.811,886.526,666.259,864.354
left,139,132,1,255.58,524.864,240.001,506.835
left,177,165,1,271.782,590.4,253.796,572.17
left,337,330,1,315.981,846.119,283.894,831.877
left,61,52,1,788.726,365.663,762.442,349.494
left,302,297,1,666.172,788.615,687.48,775.055
left,147,144,1,305.677,540.904,337.082,536.802
left,312,308,1,845.594,808.054,819.736,797.636
left,362,344,1,507.086,879.877,495.954,852.911
left,79,76,1,350.794,412.509,380.949,407.48
left,166,162,1,320.33,573.379,350.488,564.671
left,129,121,1,360.95,507.633,351.613,484.285
left,221,210,1,511.521,661.808,485.147,645.301
left,119,115,1,399.045,489.31,381.727,472.624
left,249,242,1,375.051,718.031,396.629,698.932
left,11,6,1,590.064,223.514,594.678,197.701
left,124,114,1,700.392,496.457,675.147,476.145
left,102,100,1,542.012,450.872,514.042,448.146
left,404,395,1,381.657,980.262,395.45,951.827
left,409,399,1,424.738,997.012,420.027,964.147
left,34,24,1,800.911,293.028,787.08,268.09
left,63,62,1,499.636,376.706,460.144,367.887
left,331,320,1,457.918,837.325,446.375,809.752
left,356,340,1,735.639,874.547,703.809,845.612
left,261,254,1,843.802,732.448,819.298,711.15
left,159,149,1,461.843,563.381,429.47,540.556
left,117,116,1,540.229,483.314,504.618,481.342
left,378,365,1,349.088,915.621,331.165,892.065
left,80,65,1,684.01,409.277,692.052,382.027
left,414,408,1,579.49,1018.02,602.71,995.995
