level,metric,n,mean,SD
individual,f1,30,0.9334125829932565,0.04283075717827935
individual,precision,30,0.9464303176171676,0.047712415674092366
individual,recall,30,0.9228195391140857,0.05688887939672939
group,f1,12,0.9326255015075602,0.02133299565848155
group,precision,12,0.9363863613014592,0.038313142676785726
group,recall,12,0.930969999446002,0.038587659284330535
