file_name,first_cell_id,second_cell_id,divided
357um_oxalis,1126,1127,1
357um_oxalis,120,118,1
357um_oxalis,1064,1077,1
357um_oxalis,31,37,1
357um_oxalis,1072,1069,1
357um_oxalis,218,230,1
357um_oxalis,321,352,1
357um_oxalis,419,439,1
357um_oxalis,591,623,1
357um_oxalis,1028,1034,1
357um_oxalis,198,208,1
357um_oxalis,1149,1150,1
357um_oxalis,686,678,1
357um_oxalis,950,949,1
357um_oxalis,180,183,1
357um_oxalis,542,543,1
357um_oxalis,574,572,1
357um_oxalis,94,117,1
357um_oxalis,736,747,1
357um_oxalis,392,389,1
357um_oxalis,505,518,1
357um_oxalis,336,364,1
357um_oxalis,930,917,1
357um_oxalis,131,148,1
357um_oxalis,858,861,1
357um_oxalis,963,969,1
357um_oxalis,568,565,1
357um_oxalis,829,823,1
357um_oxalis,1132,1131,1
357um_oxalis,1071,1093,1
357um_oxalis,728,746,1
357um_oxalis,612,647,1
357um_oxalis,514,563,1
357um_oxalis,675,691,1
357um_oxalis,420,432,1
357um_oxalis,589,611,1
357um_oxalis,732,742,1
357um_oxalis,334,347,1
357um_oxalis,957,919,1
357um_oxalis,50,63,1
357um_oxalis,391,401,1
357um_oxalis,459,467,1
357um_oxalis,931,909,1
357um_oxalis,413,406,1
357um_oxalis,1082,1099,1
357um_oxalis,890,897,1
357um_oxalis,160,174,1
357um_oxalis,816,827,1
357um_oxalis,759,758,1
357um_oxalis,733,761,1
357um_oxalis,664,695,1
357um_oxalis,121,132,1
357um_oxalis,903,885,1
357um_oxalis,18,0,1
357um_oxalis,1037,1036,1
357um_oxalis,196,167,1
357um_oxalis,134,154,1
357um_oxalis,43,56,1
357um_oxalis,142,135,1
357um_oxalis,955,966,1
357um_oxalis,358,373,1
357um_oxalis,587,607,1
357um_oxalis,108,110,1
357um_oxalis,602,652,1
357um_oxalis,988,997,1
357um_oxalis,541,553,1
357um_oxalis,646,658,1
357um_oxalis,1113,1117,1
357um_oxalis,584,619,1
357um_oxalis,877,910,1
357um_oxalis,508,536,1
357um_oxalis,84,70,1
357um_oxalis,592,617,1
357um_oxalis,191,206,1
357um_oxalis,403,415,1
357um_oxalis,1058,1062,1
357um_oxalis,698,704,1
357um_oxalis,605,634,1
357um_oxalis,39,53,1
357um_oxalis,995,987,1
357um_oxalis,548,561,1
357um_oxalis,337,345,1
357um_oxalis,667,711,1
357um_oxalis,435,434,1
357um_oxalis,407,429,1
357um_oxalis,350,355,1
357um_oxalis,803,825,1
357um_oxalis,982,1014,1
357um_oxalis,234,260,1
357um_oxalis,26,35,1
357um_oxalis,454,461,1
357um_oxalis,838,874,1
357um_oxalis,2,6,1
357um_oxalis,170,162,1
357um_oxalis,469,501,1
357um_oxalis,304,340,1
357um_oxalis,67,92,1
357um_oxalis,507,502,1
357um_oxalis,559,556,1
357um_oxalis,1134,1137,1
357um_oxalis,328,344,1
357um_oxalis,672,696,1
357um_oxalis,989,1012,1
357um_oxalis,779,792,1
357um_oxalis,1033,1001,1
357um_oxalis,579,599,1
357um_oxalis,490,522,1
357um_oxalis,994,1015,1
357um_oxalis,710,716,1
357um_oxalis,1075,1068,1
357um_oxalis,356,376,1
357um_oxalis,787,802,1
357um_oxalis,841,851,1
357um_oxalis,1065,1061,1
357um_oxalis,348,375,1
357um_oxalis,694,701,1
357um_oxalis,914,920,1
357um_oxalis,496,509,1
357um_oxalis,324,335,1
357um_oxalis,849,871,1
357um_oxalis,583,577,1
357um_oxalis,682,717,1
357um_oxalis,499,511,1
357um_oxalis,1047,1051,1
357um_oxalis,468,517,1
357um_oxalis,297,320,1
357um_oxalis,156,173,1
357um_oxalis,346,357,1
357um_oxalis,983,1010,1
357um_oxalis,1101,1106,1
357um_oxalis,457,494,1
357um_oxalis,741,754,1
357um_oxalis,1009,978,1
357um_oxalis,905,923,1
357um_oxalis,197,185,1
