fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
IC_small_3_278um_cells,790,57,55,0,-1,0.660517,675.000000,537.000000,813.000000,276.000000,0.778233,103.900825,90.943134,116.858516,25.915382,0.907317,1.086111,1.033333,1.138889,0.105556,0.916928,0.782024,0.748134,0.815914,0.067779,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,26.074124,1.008935,1.536585,0.531356,0.163333,0.563406,14.560220,21.893364,0.847161,12.256571,0.474267,2.073805,0.080246,54.580175,100.126810,142.953082,57.300539,85.652543,0.400835
IC_small_3_278um_cells,791,57,50,0,-1,0.833333,492.250000,447.500000,537.000000,89.500000,0.990778,90.523810,90.104485,90.943134,0.838649,0.766667,1.190580,1.033333,1.347826,0.314493,0.848918,0.754279,0.692644,0.815914,0.123270,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,24.436700,1.102554,1.270270,0.595222,0.207212,0.831949,18.439089,20.740069,0.935766,11.013395,0.496911,2.420187,0.109196,57.198223,149.180464,179.246152,119.114776,60.131376,0.664532
IC_small_3_278um_cells,792,57,49,0,-1,0.555326,752.000000,537.000000,967.000000,430.000000,0.733029,107.504034,90.943134,124.064933,33.121799,0.681560,1.274731,1.033333,1.516129,0.482796,0.967596,0.802694,0.789475,0.815914,0.026439,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,25.488587,0.939327,1.325581,0.739794,0.072141,1.016631,27.586228,21.103440,0.777722,12.515734,0.461240,5.621686,0.207175,63.898328,158.957148,161.161566,156.752730,4.408836,0.972643
IC_small_3_278um_cells,793,56,47,0,-1,0.859875,1045.250000,966.500000,1124.000000,157.500000,0.921330,128.521558,123.259176,133.783940,10.524764,0.902564,1.189103,1.128205,1.250000,0.121795,0.987177,0.794291,0.789166,0.799417,0.010251,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,30.970303,0.958615,1.580000,0.714525,0.041856,1.010595,32.649655,25.257834,0.781798,15.477110,0.479059,1.521059,0.047081,89.742851,161.336139,170.909723,151.762554,19.147169,0.887969
IC_small_3_278um_cells,794,56,42,0,-1,0.834964,1031.250000,938.500000,1124.000000,185.500000,0.996031,134.050503,133.783940,134.317066,0.533126,0.896226,1.322368,1.250000,1.394737,0.144737,0.828349,0.721435,0.653705,0.789166,0.135461,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,39.613418,1.234812,2.000000,0.461477,0.300121,0.484916,15.556349,28.940838,0.902131,19.154025,0.597061,6.790396,0.211667,47.604463,110.759880,140.079608,81.440153,58.639455,0.581385
IC_small_3_278um_cells,795,55,54,0,-1,0.926496,845.250000,813.000000,877.500000,64.500000,0.984947,117.751498,116.858516,118.644480,1.785964,0.823877,1.260621,1.138889,1.382353,0.243464,0.955032,0.765748,0.748134,0.783361,0.035226,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,30.141698,1.036941,1.319149,0.514218,0.330080,0.554719,16.124515,25.034110,0.861229,12.926438,0.444698,0.955189,0.032861,34.544087,98.202893,107.119716,89.286071,17.833645,0.833517
IC_small_3_278um_cells,796,55,50,0,-1,0.550431,630.250000,447.500000,813.000000,365.500000,0.771056,103.481501,90.104485,116.858516,26.754031,0.844982,1.243357,1.138889,1.347826,0.208937,0.925828,0.720389,0.692644,0.748134,0.055490,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,25.021144,1.007549,1.061224,0.580395,0.207061,0.840818,20.880613,20.131197,0.810641,10.442040,0.420479,4.165816,0.167749,38.905112,117.245410,123.453309,111.037511,12.415798,0.899429
IC_small_3_278um_cells,797,55,44,0,-1,0.759104,942.000000,813.000000,1071.000000,258.000000,0.946994,120.128964,116.858516,123.399413,6.540897,0.972973,1.123498,1.108108,1.138889,0.030781,0.846460,0.815987,0.748134,0.883839,0.135704,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,32.447212,1.059686,1.531915,0.695167,0.045913,0.909768,27.856777,25.601353,0.836109,16.222237,0.529798,2.082079,0.067998,84.295199,167.444205,171.587655,163.300756,8.286899,0.951705
IC_small_3_278um_cells,798,54,48,0,-1,0.629060,714.750000,552.000000,877.500000,325.500000,0.836004,108.915894,99.187308,118.644480,19.457171,0.898019,1.311866,1.241379,1.382353,0.140974,0.900067,0.744219,0.705077,0.783361,0.078284,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,33.539935,1.262863,1.236364,0.494330,0.243092,0.512130,13.601471,26.686830,1.004826,16.623507,0.625917,4.513559,0.169947,69.511940,115.034244,123.690068,106.378421,17.311646,0.860040
IC_small_3_278um_cells,799,54,44,0,-1,0.819328,974.250000,877.500000,1071.000000,193.500000,0.961467,121.021946,118.644480,123.399413,4.754933,0.801610,1.245231,1.108108,1.382353,0.274245,0.886316,0.833600,0.783361,0.883839,0.100478,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,34.926252,1.120351,1.423077,0.574571,0.152425,0.571126,17.804494,27.416681,0.879462,16.504941,0.529439,4.615192,0.148044,67.993423,109.281540,137.270450,81.292630,55.977820,0.592208
