file_name,first_cell_id,second_cell_id,divided,first_cell_centroid_x,first_cell_centroid_y,second_cell_centroid_x,second_cell_centroid_y
IC_small_3_278um_cells,349,332,1,244.179,883.967,244.353,857.656
IC_small_3_278um_cells,286,274,1,573.486,775.65,567.657,742.242
IC_small_3_278um_cells,320,310,1,299.205,835.391,281.493,811.596
IC_small_3_278um_cells,303,293,1,335.405,790.654,331.164,775.677
IC_small_3_278um_cells,342,336,1,337.86,870.444,355.569,862.575
IC_small_3_278um_cells,166,153,1,506.433,589.787,486.381,573.556
IC_small_3_278um_cells,173,159,1,607.61,598.405,593.829,573.659
IC_small_3_278um_cells,180,161,1,466.681,607.72,459.612,583.75
IC_small_3_278um_cells,149,146,1,190.186,560.474,206.744,547.149
IC_small_3_278um_cells,356,350,1,370.128,928.69,366.086,900.617
IC_small_3_278um_cells,72,68,1,374.226,389.098,387.714,373.965
IC_small_3_278um_cells,109,105,1,402.704,483.432,385.317,466.422
IC_small_3_278um_cells,145,135,1,421.904,548.836,406.672,535.949
IC_small_3_278um_cells,192,177,1,366.84,625.262,381.11,600.56
IC_small_3_278um_cells,331,314,1,395.409,845.362,393.114,816.773
IC_small_3_278um_cells,174,162,1,650.004,607.337,670.367,585.108
IC_small_3_278um_cells,104,95,1,442.357,462.165,455.823,442.404
IC_small_3_278um_cells,329,319,1,226.748,837.367,202.983,824.735
IC_small_3_278um_cells,74,66,1,533.537,396.386,519.752,372.426
IC_small_3_278um_cells,348,339,1,388.764,887.518,388.25,864.937
IC_small_3_278um_cells,304,291,1,375.122,795.593,362.413,776.242
IC_small_3_278um_cells,148,144,1,376.744,564.229,386.772,544.46
IC_small_3_278um_cells,298,292,1,304.201,787.599,280.142,777.675
IC_small_3_278um_cells,120,114,1,329.396,504.555,339.307,486.464
IC_small_3_278um_cells,99,93,1,322.033,459.375,335.96,438.35
IC_small_3_278um_cells,301,285,1,228.377,791.889,207.776,770.119
IC_small_3_278um_cells,201,182,1,539.227,640.234,527.338,611.878
IC_small_3_278um_cells,328,317,1,364.124,840.123,372.185,820.63
IC_small_3_278um_cells,90,81,1,484.595,436.13,472.862,416.425
IC_small_3_278um_cells,295,284,1,255.77,784.187,233.354,765.429
IC_small_3_278um_cells,20,16,1,380.366,204.467,365.412,190.817
IC_small_3_278um_cells,247,232,1,570.507,703.151,602.034,690.313
IC_small_3_278um_cells,318,308,1,448.396,826.759,444.353,800.555
