real_division_pair
first_cell_index second_cell_index hour_ago_divided
0 2 12
3 5 2
4 6 10
14 16 2
9 12 4
7 8 8
11 17 8
19 24 2
27 30 4
23 32 4
29 39 2
21 26 2
20 25 8
31 37 8
35 38 2
42 48 2
43 47 8
50 52 12
45 53 4
40 46 12
56 61 10
59 63 4
51 55 6
58 62 8
71 76 2
70 77 6
67 72 10
75 79 4
69 68 6
57 60 4
36 44 8
