fileName,pairIndex,firstPolygonId,secondPolygonId,observed_division,division_timing,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
left,1555,164,134,0,-1,0.880126,1192.000000,1116.000000,1268.000000,152.000000,0.928159,133.088552,128.129857,138.047247,9.917390,0.854651,1.236434,1.139535,1.333333,0.193798,0.978814,0.845178,0.836130,0.854227,0.018098,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,41.042225,1.189361,1.933333,0.565720,0.217072,0.522426,18.027756,31.892163,0.924202,18.747861,0.543294,0.471693,0.013669,59.966726,112.917849,116.395663,109.440035,6.955628,0.940242
left,1556,163,159,0,-1,0.680496,1660.750000,1345.000000,1976.500000,631.500000,0.865545,157.653039,146.290557,169.015520,22.724963,0.941176,1.132353,1.098039,1.166667,0.068627,0.908335,0.829618,0.789768,0.869468,0.079700,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,36.170271,0.891639,1.438596,0.789941,0.051483,1.053098,42.720019,28.865784,0.711575,17.749062,0.437535,5.237135,0.129101,69.303823,142.899339,143.797411,142.001268,1.796143,0.987509
left,1557,163,143,0,-1,0.412092,1395.500000,814.500000,1976.500000,1162.000000,0.646806,139.167862,109.320204,169.015520,59.695316,0.924665,1.142770,1.098039,1.187500,0.089461,0.985023,0.862957,0.856446,0.869468,0.013022,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,47.450151,1.300052,1.051948,0.543960,0.200824,0.334439,12.206556,35.671437,0.977336,23.567760,0.645716,15.563293,0.426407,75.695336,108.801523,111.776893,105.826154,5.950739,0.946762
left,1558,163,137,0,-1,0.477106,1459.750000,943.000000,1976.500000,1033.500000,0.708138,144.350956,119.686393,169.015520,49.329127,0.933333,1.137255,1.098039,1.176471,0.078431,0.951434,0.848354,0.827241,0.869468,0.042227,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,38.956620,1.036547,1.482143,0.655660,0.139921,0.693844,26.076810,29.820752,0.793462,19.470188,0.518057,12.561041,0.334221,88.942662,111.405179,124.783120,98.027238,26.755883,0.785581
left,1559,162,150,0,-1,0.941144,890.500000,863.500000,917.500000,54.000000,0.987220,115.809736,115.064978,116.554493,1.489515,0.890688,1.117225,1.052632,1.181818,0.129187,0.965668,0.834138,0.819570,0.848707,0.029138,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,28.848829,0.966855,1.185185,0.644998,0.168445,0.759827,22.671568,23.533442,0.788712,14.273907,0.478383,0.455875,0.015278,78.641936,120.825762,126.702855,114.948668,11.754187,0.907230
left,1560,162,144,0,-1,0.945783,888.250000,863.500000,913.000000,49.500000,0.992053,115.525842,115.064978,115.986705,0.921727,0.947368,1.081871,1.052632,1.111111,0.058480,0.960996,0.836202,0.819570,0.852833,0.033264,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,37.549076,1.260009,1.147541,0.522820,0.316634,0.409607,12.206556,29.818800,1.000610,17.468651,0.586184,0.412875,0.013855,77.141371,113.629530,115.604877,111.654183,3.950694,0.965826
left,1561,162,135,0,-1,0.953091,884.750000,863.500000,906.000000,42.500000,0.998325,115.161509,115.064978,115.258040,0.193062,0.941828,1.085139,1.052632,1.117647,0.065015,0.956291,0.838299,0.819570,0.857029,0.037459,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,34.902510,1.173485,1.681818,0.555585,0.228878,0.508790,15.132746,27.879182,0.937348,17.445399,0.586546,1.755417,0.059020,89.279941,108.482752,121.222310,95.743194,25.479116,0.789815
left,1562,161,144,0,-1,0.827743,1008.000000,913.000000,1103.000000,190.000000,0.923912,120.762711,115.986705,125.538716,9.552010,0.923077,1.068376,1.025641,1.111111,0.085470,0.969693,0.866161,0.852833,0.879488,0.026655,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,36.320469,1.145262,1.163934,0.588244,0.162698,0.536046,17.000000,26.624157,0.839517,18.046049,0.569031,1.754119,0.055311,77.529646,118.391911,132.393358,104.390463,28.002895,0.788487
left,1563,161,141,0,-1,0.774705,978.750000,854.500000,1103.000000,248.500000,0.917309,120.348274,115.157833,125.538716,10.380883,0.975000,1.012821,1.000000,1.025641,0.025641,0.920672,0.844604,0.809720,0.879488,0.069768,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,37.680851,1.206883,1.031250,0.554111,0.292465,0.480436,15.000000,31.332533,1.003552,18.261140,0.584887,2.579855,0.082630,84.815149,117.891440,122.148221,113.634660,8.513561,0.930301
left,1564,161,129,0,-1,0.744516,1292.250000,1103.000000,1481.500000,378.500000,0.852257,136.420071,125.538716,147.301425,21.762710,0.820513,1.137821,1.025641,1.250000,0.224359,0.975591,0.868754,0.858020,0.879488,0.021468,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,38.562383,1.075634,1.490909,0.589955,0.183014,0.532902,19.104973,30.698821,0.856293,19.270978,0.537532,4.518262,0.126029,84.979546,102.127916,115.543161,88.712671,26.830490,0.767788
