fileName,pairIndex,firstPolygonId,secondPolygonId,observed_division,division_timing,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
right,395,1339,1336,0,-1,0.306862,1361.750000,639.500000,2084.000000,1444.500000,0.615320,143.330037,109.196722,177.463352,68.266630,0.983051,1.008621,1.000000,1.017241,0.017241,0.810478,0.752755,0.673955,0.831554,0.157598,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,26.869978,0.757550,1.118644,0.843892,0.037268,1.202100,42.638011,22.377828,0.630902,13.202620,0.372224,11.605213,0.327188,15.751199,151.344251,153.012109,149.676393,3.335716,0.978200
right,396,1339,1322,0,-1,0.720158,763.750000,639.500000,888.000000,248.500000,0.910178,114.584794,109.196722,119.972865,10.776143,0.775000,1.145161,1.000000,1.290323,0.290323,0.869310,0.724616,0.673955,0.775277,0.101321,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,40.515087,1.470931,1.351852,0.457475,0.412111,0.441679,12.165525,32.598469,1.183512,18.230076,0.661857,4.381713,0.159081,60.447395,135.368773,146.814975,123.922571,22.892404,0.844073
right,397,1339,1316,0,-1,0.376287,1169.500000,639.500000,1699.500000,1060.000000,0.690089,133.716184,109.196722,158.235646,49.038924,0.907407,1.051020,1.000000,1.102041,0.102041,0.790149,0.763452,0.673955,0.852948,0.178992,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,32.835119,0.987324,1.588235,0.614365,0.140658,0.732232,24.351591,26.784843,0.805398,16.122327,0.484785,12.730282,0.382789,55.757467,98.260084,111.801409,84.718759,27.082650,0.757761
right,398,1338,1334,0,-1,0.920316,789.250000,756.500000,822.000000,65.500000,0.939160,109.315575,105.885836,112.745314,6.859478,0.899917,1.157762,1.096774,1.218750,0.121976,0.958389,0.830256,0.812615,0.847897,0.035282,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,36.330808,1.293485,2.027778,0.513038,0.193855,0.391633,11.000000,27.958154,0.995393,18.142600,0.645930,2.792102,0.099407,80.093222,110.627984,143.200146,78.055823,65.144323,0.545082
right,399,1338,1332,0,-1,0.480928,1164.750000,756.500000,1573.000000,816.500000,0.691502,129.505173,105.885836,153.124510,47.238674,0.951917,1.124474,1.096774,1.152174,0.055400,0.994274,0.845469,0.843042,0.847897,0.004855,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,43.703038,1.301352,1.869565,0.521519,0.232024,0.328899,11.045361,33.451389,0.996087,21.719656,0.646749,11.683503,0.347901,77.581087,105.119984,118.546989,91.692978,26.854011,0.773474
right,400,1338,1326,0,-1,0.982468,763.250000,756.500000,770.000000,13.500000,0.956165,108.312959,105.885836,110.740082,4.854246,0.939394,1.063539,1.030303,1.096774,0.066471,0.930567,0.818461,0.789025,0.847897,0.058872,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,34.708868,1.256352,1.188679,0.524024,0.309532,0.457858,12.649111,27.401049,0.991832,16.181384,0.585715,0.010496,0.000380,67.642722,113.631462,120.379126,106.883798,13.495328,0.887893
right,401,1338,1323,0,-1,0.574194,1037.000000,756.500000,1317.500000,561.000000,0.781302,120.705343,105.885836,135.524851,29.639015,0.972141,1.112490,1.096774,1.128205,0.031431,0.940634,0.874654,0.847897,0.901410,0.053514,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,29.827030,0.934988,1.391304,0.785247,0.059306,0.928316,29.614186,23.860394,0.747952,14.886268,0.466640,6.841868,0.214472,85.732515,145.469918,156.370622,134.569213,21.801409,0.860579
right,402,1337,1327,0,-1,0.980406,1440.250000,1426.000000,1454.500000,28.500000,0.997326,146.070291,145.874757,146.265825,0.391069,0.975758,1.058442,1.045455,1.071429,0.025974,0.975170,0.848277,0.837613,0.858941,0.021327,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,32.933864,0.867819,1.048387,0.738630,0.104496,0.932371,35.383612,27.235542,0.717666,16.445860,0.433354,0.360323,0.009495,86.530440,113.619003,115.887026,111.350980,4.536046,0.960858
right,403,1337,1320,0,-1,0.723616,1253.500000,1052.500000,1454.500000,402.000000,0.885169,137.499301,129.123845,145.874757,16.750912,0.667311,1.306061,1.045455,1.566667,0.521212,0.923540,0.826104,0.793266,0.858941,0.065675,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,42.090613,1.192704,1.509091,0.585731,0.158955,0.610388,21.540659,33.497222,0.949196,21.038165,0.596150,5.406892,0.153213,85.677438,121.482432,128.623773,114.341090,14.282683,0.888958
right,404,1336,1322,0,-1,0.426104,1486.000000,888.000000,2084.000000,1196.000000,0.676043,148.718109,119.972865,177.463352,57.490487,0.788362,1.153782,1.017241,1.290323,0.273081,0.932323,0.803415,0.775277,0.831554,0.056277,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,44.079787,1.168448,1.603448,0.562876,0.162180,0.528159,19.924859,38.375668,1.017245,20.949822,0.555329,12.610779,0.334281,55.961198,108.636524,157.100133,60.172915,96.927218,0.383023
right,405,1336,1318,0,-1,0.975655,2110.000000,2084.000000,2136.000000,52.000000,0.997236,177.709297,177.463352,177.955242,0.491890,0.678161,1.258621,1.017241,1.500000,0.482759,0.981072,0.839575,0.831554,0.847597,0.016044,1.000000,1.000000,1.000000,1.000000,0.000000,0.875000,7.500000,7.000000,8.000000,1.000000,54.180527,1.179533,1.176471,0.568948,0.204739,0.545565,25.059928,40.434657,0.880280,25.444095,0.553929,4.096008,0.089172,65.124556,112.143084,122.471192,101.814975,20.656217,0.831338
right,406,1335,1333,0,-1,0.579947,1185.750000,870.500000,1501.000000,630.500000,0.784800,133.998140,117.841470,150.154809,32.313339,0.892713,1.366959,1.289474,1.444444,0.154971,0.941608,0.812164,0.787739,0.836589,0.048850,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,42.071788,1.232927,2.289474,0.615980,0.087287,0.703938,24.020824,32.697653,0.958215,21.032954,0.616378,8.916956,0.261314,89.993572,146.375488,176.185925,116.565051,59.620874,0.661603
right,407,1335,1330,0,-1,0.550253,1226.250000,870.500000,1582.000000,711.500000,0.757156,136.739246,117.841470,155.637022,37.795552,0.946360,1.485380,1.444444,1.526316,0.081871,0.959824,0.804225,0.787739,0.820711,0.032973,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,50.057904,1.445119,2.526316,0.487675,0.209378,0.318868,11.045361,37.261677,1.075705,25.021971,0.722358,11.851704,0.342146,86.074760,112.050147,120.379126,103.721168,16.657958,0.861621
right,408,1335,1325,0,-1,0.898813,919.500000,870.500000,968.500000,98.000000,0.944743,121.287678,117.841470,124.733885,6.892415,0.930864,1.498084,1.444444,1.551724,0.107280,0.993021,0.784990,0.782241,0.787739,0.005498,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,23.681639,0.781250,1.133333,0.839446,0.023382,1.264414,38.327536,20.568363,0.678544,11.818237,0.389880,0.912997,0.030120,46.668937,149.142219,161.353851,136.930587,24.423264,0.848635
right,409,1334,1326,0,-1,0.936740,796.000000,770.000000,822.000000,52.000000,0.982214,111.742698,110.740082,112.745314,2.005232,0.845377,1.124527,1.030303,1.218750,0.188447,0.970971,0.800820,0.789025,0.812615,0.023589,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,23.179117,0.821672,1.139535,0.819385,0.047425,1.191628,33.615473,18.945498,0.671595,11.550350,0.409446,0.094567,0.003352,67.004532,157.966199,161.565051,154.367348,7.197704,0.955450
right,410,1334,1308,0,-1,0.402842,1431.250000,822.000000,2040.500000,1218.500000,0.658855,141.934225,112.745314,171.123137,58.377824,0.806250,1.365189,1.218750,1.511628,0.292878,0.928016,0.844131,0.812615,0.875647,0.063032,1.000000,1.000000,1.000000,1.000000,0.000000,0.750000,7.000000,6.000000,8.000000,2.000000,47.115456,1.276108,1.353846,0.544779,0.246638,0.364387,13.453624,34.212544,0.926636,23.220645,0.628924,13.600136,0.368356,74.699034,108.004084,118.009177,97.998991,20.010186,0.830435
right,411,1333,1332,0,-1,0.954228,1537.000000,1501.000000,1573.000000,72.000000,0.980606,151.639660,150.154809,153.124510,2.969701,0.893523,1.220824,1.152174,1.289474,0.137300,0.992345,0.839815,0.836589,0.843042,0.006453,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,48.612413,1.240052,2.173913,0.558134,0.162492,0.512724,20.099751,36.205912,0.923575,23.916172,0.610077,2.029382,0.051767,77.250816,114.776630,133.842667,95.710593,38.132074,0.715098
right,412,1333,1324,0,-1,0.868754,1402.500000,1304.000000,1501.000000,197.000000,0.942133,145.810303,141.465796,150.154809,8.689013,0.974359,1.272942,1.256410,1.289474,0.033063,0.978752,0.827701,0.818813,0.836589,0.017776,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,45.904494,1.226513,1.435484,0.520166,0.290018,0.418215,15.652476,35.222124,0.941093,22.840188,0.610262,0.047432,0.001267,85.058378,106.370514,107.597162,105.143865,2.453298,0.977199
right,413,1333,1314,0,-1,0.643238,1233.250000,965.500000,1501.000000,535.500000,0.822766,136.848538,123.542267,150.154809,26.612542,0.982456,1.300987,1.289474,1.312500,0.023026,0.950209,0.815761,0.794934,0.836589,0.041655,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,36.674746,1.050623,1.612245,0.608695,0.188121,0.688126,24.020824,29.872360,0.855755,18.197209,0.521296,3.465549,0.099278,87.097649,121.033767,133.451842,108.615692,24.836150,0.813894
right,414,1333,1312,0,-1,0.634244,1226.500000,952.000000,1501.000000,549.000000,0.826156,137.103069,124.051329,150.154809,26.103480,0.740761,1.515107,1.289474,1.740741,0.451267,0.929249,0.806994,0.777399,0.836589,0.059190,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,43.205173,1.241577,1.490909,0.519410,0.233795,0.439588,15.297059,35.807811,1.029001,21.421231,0.615577,3.078149,0.088456,73.840386,123.217018,161.353851,85.080184,76.273667,0.527289
right,415,1332,1324,0,-1,0.828989,1438.500000,1304.000000,1573.000000,269.000000,0.923861,147.295153,141.465796,153.124510,11.658714,0.917036,1.204292,1.152174,1.256410,0.104236,0.971260,0.830927,0.818813,0.843042,0.024229,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,29.941960,0.790317,1.150000,0.862795,0.047445,1.186306,44.944410,24.870520,0.656457,14.960918,0.394893,2.274922,0.060047,65.114102,152.809510,159.145542,146.473478,12.672063,0.920374
right,416,1332,1323,0,-1,0.837572,1445.250000,1317.500000,1573.000000,255.500000,0.885063,144.324680,135.524851,153.124510,17.599659,0.979197,1.140190,1.128205,1.152174,0.023969,0.935247,0.872226,0.843042,0.901410,0.058369,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,46.728387,1.230367,1.166667,0.560400,0.208787,0.448387,17.029386,34.599326,0.911007,23.363569,0.615167,5.589623,0.147176,88.655003,105.514210,106.883798,104.144621,2.739177,0.974372
right,417,1331,1319,0,-1,0.976580,907.250000,896.500000,918.000000,21.500000,0.993179,119.988704,119.578098,120.399311,0.821213,0.759591,1.226381,1.058824,1.393939,0.335116,0.963303,0.791966,0.777163,0.806769,0.029606,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,28.882027,0.958897,1.446809,0.659507,0.177184,0.897027,27.018512,25.242446,0.838061,14.222333,0.472188,1.877644,0.062339,80.992877,130.172749,133.974354,126.371144,7.603210,0.943249
right,418,1331,1316,0,-1,0.527508,1298.000000,896.500000,1699.500000,803.000000,0.760886,139.317479,120.399311,158.235646,37.836336,0.790594,1.247990,1.102041,1.393939,0.291899,0.911150,0.815055,0.777163,0.852948,0.075785,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,46.366838,1.303050,1.271429,0.521960,0.204931,0.402375,14.317821,33.555181,0.943004,23.138942,0.650275,10.293031,0.289266,80.137211,115.882311,118.393019,113.371602,5.021418,0.957587
right,419,1331,1308,0,-1,0.439353,1468.500000,896.500000,2040.500000,1144.000000,0.703583,145.761224,120.399311,171.123137,50.723827,0.922145,1.452784,1.393939,1.511628,0.117689,0.887530,0.826405,0.777163,0.875647,0.098484,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,6.500000,5.000000,8.000000,3.000000,44.585206,1.187142,1.191781,0.541818,0.213313,0.406434,15.264338,34.867723,0.928401,22.153396,0.589865,14.492069,0.385871,88.450147,102.157888,121.200515,83.115262,38.085253,0.685767
