filename,cell_1_id,cell_2_id,division_timing,observed_division,estimated_division,distance,distance_normalized,area_ratio,area_diff,convex_deficiency,area_min,area_max,area_mean,perimeter_ratio,perimeter_min,perimeter_max,perimeter_mean,perimeter_diff,aspect_ratio,compactness_min,compactness_max,compactness_mean,compactness_diff,elongation_ratio,elongation_min,elongation_max,elongation_mean,elongation_diff,solidity_ratio,solidity_min,solidity_max,solidity_mean,solidity_diff,vertex_count_ratio,vertex_count_min,vertex_count_max,vertex_count_mean,vertex_count_diff,union_aspect_ratio,union_circularity,shared_edge_length,shared_edge_length_normalized,shared_edge_vertex_distance,shared_edge_vertex_distance_normalized,centroid_shared_edge_distance,centroid_shared_edge_distance_normalized,union_centroid_edge_distance,union_centroid_edge_distance_normalized,union_axis_shared_edge_angle,junction_angle_ratio,junction_angle_diff,junction_angle_min,junction_angle_max,junction_angle_mean
sample6_22h.json,3,10,-1,0,0,49.832143,1.499220,0.756593,307.666667,0.675424,956.333333,1264.000000,1110.166667,0.803234,124.062494,154.453826,139.258160,30.391332,0.835366,0.665824,0.780797,0.723311,0.114973,0.835366,1.000000,1.197080,1.098540,0.197080,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.068670,0.440617,13.437096,0.404260,36.439311,1.096291,21.545784,0.648214,3.224472,0.097010,42.061947,0.963912,4.475852,119.551908,124.027760,121.789834
sample6_22h.json,4,5,-1,0,0,35.593832,0.881219,0.994345,9.252778,0.294161,1626.858333,1636.111111,1631.484722,0.979743,164.557233,167.959523,166.258378,3.402290,0.719523,0.728808,0.754963,0.741886,0.026155,0.719523,1.006289,1.398551,1.202420,0.392261,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,5.000000,7.000000,6.000000,2.000000,1.356383,0.674631,42.990955,1.064354,26.175161,0.648035,15.645957,0.387357,0.715157,0.017706,24.153215,0.692042,47.180777,106.024207,153.204984,129.614596
sample6_22h.json,4,8,-1,0,0,56.936530,1.326038,0.792882,427.388889,0.400162,1636.111111,2063.500000,1849.805556,0.957364,167.959523,175.439497,171.699510,7.479974,0.807146,0.728808,0.842480,0.785644,0.113672,0.807146,1.128834,1.398551,1.263693,0.269716,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.523404,0.515984,21.615324,0.503416,45.999104,1.071308,28.139451,0.655361,4.109662,0.095713,83.907270,0.886001,16.809111,130.640885,147.449997,139.045441
sample6_22h.json,4,11,-1,0,0,55.802827,1.222143,0.632232,951.722222,0.428772,1636.111111,2587.833333,2111.972222,0.806480,167.959523,208.262516,188.111020,40.302993,0.728843,0.728808,0.749763,0.739286,0.020954,0.728843,1.019324,1.398551,1.208937,0.379227,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,5.000000,7.000000,6.000000,2.000000,1.220588,0.506722,26.284765,0.575665,45.577876,0.998206,23.003562,0.503803,9.242806,0.202428,44.013561,0.871071,15.208719,102.753513,117.962232,110.357872
sample6_22h.json,5,10,-1,0,1,26.969698,0.710785,0.776958,362.858333,0.180685,1264.000000,1626.858333,1445.429167,0.938602,154.453826,164.557233,159.505530,10.103407,0.840620,0.665824,0.754963,0.710394,0.089139,0.840620,1.006289,1.197080,1.101685,0.190791,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.073529,0.711624,46.535530,1.226441,22.178324,0.584508,13.384272,0.352742,3.836355,0.101107,21.587280,0.571963,63.498809,84.849918,148.348727,116.599322
sample6_22h.json,5,11,-1,0,0,67.885619,1.488637,0.628657,960.975000,0.324104,1626.858333,2587.833333,2107.345833,0.790143,164.557233,208.262516,186.409875,43.705283,0.987213,0.749763,0.754963,0.752363,0.005200,0.987213,1.006289,1.019324,1.012806,0.013034,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,1.098684,0.492077,22.373099,0.490611,52.186946,1.144387,33.733512,0.739729,13.271259,0.291020,77.873806,0.592463,61.628626,89.593654,151.222280,120.407967
sample6_22h.json,5,15,-1,0,0,66.337352,1.731173,0.810150,308.858333,0.830374,1318.000000,1626.858333,1472.429167,0.986925,162.405723,164.557233,163.481478,2.151511,0.942306,0.627946,0.754963,0.691455,0.127017,0.942306,1.006289,1.067901,1.037095,0.061612,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.217228,0.362701,3.771236,0.098416,48.020870,1.253177,32.785207,0.855579,1.951031,0.050915,78.733863,0.988482,1.245972,106.932143,108.178115,107.555129
sample6_22h.json,6,7,-1,0,1,21.547293,0.648656,0.954548,51.327475,0.186207,1077.944444,1129.271919,1103.608182,0.981797,146.434779,149.149774,147.792276,2.714995,0.700299,0.608921,0.661790,0.635355,0.052868,0.700299,1.133803,1.619026,1.376414,0.485223,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.138991,0.711780,49.090619,1.477816,19.711424,0.593390,10.673575,0.321316,0.621329,0.018704,1.293563,0.653875,53.257888,100.611238,153.869126,127.240182
sample6_22h.json,6,10,-1,0,0,59.210222,1.712332,0.893411,134.728081,0.332599,1129.271919,1264.000000,1196.635960,0.948081,146.434779,154.453826,150.444302,8.019047,0.739383,0.661790,0.665824,0.663807,0.004035,0.739383,1.197080,1.619026,1.408053,0.421946,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.612809,0.391061,11.785113,0.340820,41.180275,1.190914,28.099219,0.812616,2.982072,0.086240,66.161273,0.901854,14.227909,130.739246,144.967154,137.853200
sample6_22h.json,6,13,-1,0,0,47.323532,1.325573,0.790499,299.283636,0.530268,1129.271919,1428.555556,1278.913737,0.988895,144.808566,146.434779,145.621672,1.626213,0.640363,0.661790,0.856088,0.758939,0.194299,0.640363,1.036765,1.619026,1.327895,0.582261,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.027147,0.493584,18.027756,0.504973,36.530257,1.023244,21.349470,0.598017,4.334804,0.121422,55.468232,0.947461,6.722422,121.228400,127.950822,124.589611
