real_division_pair
first_cell_index second_cell_index hour_ago_divided
0 1 12
2 4 8
3 9 12
7 12 6
8 10 2
17 18 4
21 22 2
6 5 2
14 13 4
11 19 14
26 30 12
23 25 14
15 16 2
27 28 2
29 35 12
37 39 6
31 32 10
41 43 4
38 40 6
34 36 12
42 45 8
48 49 8
46 47 10
