filename,cell_1_id,cell_2_id,division_timing,observed_division,estimated_division,distance,distance_normalized,area_ratio,area_diff,convex_deficiency,area_min,area_max,area_mean,perimeter_ratio,perimeter_min,perimeter_max,perimeter_mean,perimeter_diff,aspect_ratio,compactness_min,compactness_max,compactness_mean,compactness_diff,elongation_ratio,elongation_min,elongation_max,elongation_mean,elongation_diff,solidity_ratio,solidity_min,solidity_max,solidity_mean,solidity_diff,vertex_count_ratio,vertex_count_min,vertex_count_max,vertex_count_mean,vertex_count_diff,union_aspect_ratio,union_circularity,shared_edge_length,shared_edge_length_normalized,shared_edge_vertex_distance,shared_edge_vertex_distance_normalized,centroid_shared_edge_distance,centroid_shared_edge_distance_normalized,union_centroid_edge_distance,union_centroid_edge_distance_normalized,union_axis_shared_edge_angle,junction_angle_ratio,junction_angle_diff,junction_angle_min,junction_angle_max,junction_angle_mean
18-84h.json,3,8,-1,0,0,30.832143,1.216491,0.575211,353.000000,0.547746,478.000000,831.000000,654.500000,0.778110,85.476452,109.851404,97.663928,24.374952,0.875332,0.822138,0.865366,0.843752,0.043228,0.875332,1.034483,1.181818,1.108150,0.147335,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.270833,0.551522,11.313708,0.446386,25.135820,0.991741,14.784292,0.583319,6.831494,0.269539,73.485499,0.857872,17.369545,104.841383,122.210928,113.526155
18-84h.json,3,11,-1,0,0,29.296767,1.228147,0.715569,190.000000,0.468586,478.000000,668.000000,573.000000,0.853655,85.476452,100.129939,92.803195,14.653487,0.810811,0.822138,0.837256,0.829697,0.015118,0.810811,1.034483,1.275862,1.155172,0.241379,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.631579,0.547405,11.704700,0.490671,22.107215,0.926754,14.529798,0.609102,5.240160,0.219672,81.785451,0.744434,34.390439,100.175511,134.565949,117.370730
18-84h.json,4,8,-1,0,0,29.633810,1.078163,0.822503,147.500000,0.346649,683.500000,831.000000,757.250000,0.913521,100.351547,109.851404,105.101475,9.499857,0.886364,0.852904,0.865366,0.859135,0.012462,0.886364,1.181818,1.333333,1.257576,0.151515,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.466667,0.608056,16.643317,0.605532,23.139938,0.841898,14.726439,0.535790,3.037871,0.110527,73.938359,0.903239,11.701516,109.230672,120.932189,115.081430
18-84h.json,4,9,-1,0,0,26.092322,1.134615,0.576445,289.500000,0.328538,394.000000,683.500000,538.750000,0.768415,77.111654,100.351547,88.731601,23.239893,0.810000,0.832657,0.852904,0.842781,0.020247,0.810000,1.080000,1.333333,1.206667,0.253333,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.111111,0.609585,14.212670,0.618033,19.978408,0.868754,12.720131,0.553130,6.319938,0.274820,73.973219,0.872278,17.013890,116.196199,133.210089,124.703144
18-84h.json,4,13,-1,0,0,27.988788,1.060766,0.964034,25.500000,0.341113,683.500000,709.000000,696.250000,0.996452,100.351547,100.708864,100.530205,0.357317,0.773438,0.852904,0.878457,0.865681,0.025553,0.773438,1.031250,1.333333,1.182292,0.302083,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.552632,0.612692,16.031220,0.607578,22.417986,0.849635,13.988758,0.530170,1.433222,0.054319,89.213415,0.946019,6.086709,106.669542,112.756251,109.712896
18-84h.json,5,7,-1,0,0,28.454798,1.144476,0.728978,195.000000,0.212219,524.500000,719.500000,622.000000,0.862730,91.347255,105.881591,98.614423,14.534335,0.934289,0.789886,0.806491,0.798189,0.016606,0.934289,1.259259,1.347826,1.303543,0.088567,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.937500,0.605096,18.248288,0.733962,22.040100,0.886471,14.079787,0.566301,3.186574,0.128167,82.488485,0.791017,27.485970,104.036243,131.522213,117.779228
18-84h.json,5,10,28,1,1,21.833403,0.856511,0.665187,264.000000,0.055598,524.500000,788.500000,656.500000,0.839554,91.347255,108.804442,100.075849,17.457187,0.927419,0.789886,0.836986,0.813436,0.047100,0.927419,1.250000,1.347826,1.298913,0.097826,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.157895,0.813359,28.861739,1.132228,17.619584,0.691205,10.901934,0.427676,3.606078,0.141464,69.445802,0.958398,7.094749,163.442929,170.537678,166.990303
18-84h.json,6,9,-1,0,0,24.340527,1.120385,0.707361,163.000000,0.555205,394.000000,557.000000,475.500000,0.841293,77.111654,91.658501,84.385078,14.546847,0.955795,0.832657,0.833143,0.832900,0.000486,0.955795,1.032258,1.080000,1.056129,0.047742,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.307692,0.520223,8.602325,0.395962,19.926885,0.917227,11.795393,0.542937,1.068313,0.049174,64.536845,0.708535,33.596356,81.670955,115.267311,98.469133
18-84h.json,6,12,-1,0,0,23.006220,1.020344,0.829443,95.000000,0.290481,462.000000,557.000000,509.500000,0.919890,84.315737,91.658501,87.987119,7.342765,0.865765,0.816647,0.833143,0.824895,0.016496,0.865765,1.032258,1.192308,1.112283,0.160050,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,5.000000,7.000000,6.000000,2.000000,1.307692,0.647845,17.691806,0.784645,17.713610,0.785612,11.073391,0.491114,0.215647,0.009564,66.418585,0.815422,24.918023,110.081977,135.000000,122.540989
18-84h.json,6,14,-1,0,0,32.162192,1.409193,0.872531,71.000000,0.378715,486.000000,557.000000,521.500000,0.996555,91.658501,91.975394,91.816948,0.316892,0.774194,0.721943,0.833143,0.777543,0.111200,0.774194,1.032258,1.333333,1.182796,0.301075,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,5.000000,7.000000,6.000000,2.000000,1.137255,0.497122,10.630146,0.465762,23.533597,1.031129,16.019559,0.701900,0.553369,0.024246,84.850246,0.626842,59.377342,99.743641,159.120983,129.432312
18-84h.json,6,16,-1,0,0,34.248855,1.418498,0.913864,52.500000,0.668667,557.000000,609.500000,583.250000,0.937921,91.658501,97.725215,94.691858,6.066713,0.860215,0.801992,0.833143,0.817568,0.031151,0.860215,1.032258,1.200000,1.116129,0.167742,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.692308,0.469301,6.324555,0.261947,25.567242,1.058928,17.070432,0.707013,2.105022,0.087185,89.666292,0.959406,4.491146,106.144339,110.635485,108.389912
18-84h.json,7,10,-1,0,0,35.651915,1.298706,0.912492,69.000000,0.672414,719.500000,788.500000,754.000000,0.973137,105.881591,108.804442,107.343016,2.922852,0.992647,0.806491,0.836986,0.821739,0.030495,0.992647,1.250000,1.259259,1.254630,0.009259,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.769231,0.461279,6.000000,0.218564,28.323307,1.031744,17.059027,0.621416,1.593833,0.058059,79.594272,0.890281,10.528029,85.426079,95.954107,90.690093
18-84h.json,7,11,-1,0,0,34.058738,1.293308,0.928423,51.500000,0.549189,668.000000,719.500000,693.750000,0.945678,100.129939,105.881591,103.005765,5.751652,0.986987,0.806491,0.837256,0.821874,0.030765,0.986987,1.259259,1.275862,1.267561,0.016603,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.196078,0.495570,9.219544,0.350092,26.029114,0.988400,16.094890,0.611169,3.144058,0.119389,69.195231,0.995712,0.441295,102.480841,102.922136,102.701489
