fileName,pairIndex,firstPolygonId,secondPolygonId,observed_division,division_timing,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
sample2_26h,49,18,21,0,-1,0.766012,2187.500000,1897.666667,2477.333333,579.666667,0.917193,187.765500,179.655545,195.875455,16.219910,0.982870,1.081566,1.072222,1.090909,0.018687,0.910572,0.775118,0.738837,0.811399,0.072562,0.998947,0.999474,0.998947,1.000000,0.001053,0.714286,6.000000,5.000000,7.000000,2.000000,68.430295,1.466337,1.210526,0.411118,0.761676,0.105461,4.921608,54.073833,1.158704,34.916545,0.748198,10.975133,0.235177,63.601400,112.161342,141.934843,82.387840,59.547003,0.580462
sample2_26h,50,18,22,0,-1,0.728627,2938.666667,2477.333333,3400.000000,922.666667,0.837731,214.846026,195.875455,233.816597,37.941142,0.963349,1.070918,1.050926,1.090909,0.039983,0.963172,0.796458,0.781516,0.811399,0.029882,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,72.038768,1.333035,1.317568,0.527411,0.472720,0.513291,27.738862,51.073161,0.945079,33.614474,0.622016,7.863710,0.145513,67.131975,109.646152,153.365315,65.926989,87.438325,0.429869
sample2_26h,51,19,23,0,-1,0.659576,4746.250000,3772.666667,5719.833333,1947.166667,0.854023,270.365977,249.078661,291.653294,42.574634,0.950127,1.213213,1.182186,1.244240,0.062053,0.904328,0.804584,0.764162,0.845005,0.080844,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,86.236947,1.258459,1.241558,0.468022,0.647037,0.261818,17.941262,62.678054,0.914663,43.232868,0.630899,6.230983,0.090929,80.474741,89.642687,98.252181,81.033193,17.218988,0.824747
sample2_26h,52,19,25,0,-1,0.827792,5227.333333,4734.833333,5719.833333,985.000000,0.937911,282.598995,273.544695,291.653294,18.108599,0.919738,1.134744,1.087302,1.182186,0.094885,0.941019,0.820086,0.795166,0.845005,0.049839,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,75.090218,1.039745,1.115979,0.612101,0.381456,0.705573,50.956408,58.000395,0.803109,37.211320,0.515251,0.848369,0.011747,79.700131,114.420061,120.830215,108.009906,12.820308,0.893898
sample2_26h,53,19,26,0,-1,0.819925,5204.833333,4689.833333,5719.833333,1030.000000,0.934699,282.130683,272.608073,291.653294,19.045221,0.977627,1.168962,1.155738,1.182186,0.026449,0.938492,0.819018,0.793030,0.845005,0.051975,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,75.250507,1.044334,1.002331,0.605260,0.420282,0.689527,49.684561,64.265266,0.891880,37.192322,0.516159,8.521405,0.118261,64.184722,131.698541,135.296007,128.101074,7.194933,0.946821
sample2_26h,54,20,22,0,-1,0.803424,3815.944444,3400.000000,4231.888889,831.888889,0.890092,248.252291,233.816597,262.687986,28.871390,0.771887,1.206214,1.050926,1.361502,0.310576,0.986111,0.776089,0.770662,0.781516,0.010855,0.980436,0.990218,0.980436,1.000000,0.019564,1.000000,7.000000,7.000000,7.000000,0.000000,80.591086,1.306574,1.713805,0.508523,0.396742,0.504440,31.114484,56.790697,0.920713,36.874405,0.597822,6.323207,0.102514,60.537761,132.755762,138.521474,126.990051,11.531423,0.916754
sample2_26h,55,20,24,0,-1,0.637107,3464.027778,2696.166667,4231.888889,1535.722222,0.772466,232.802750,202.917514,262.687986,59.770472,0.878756,1.278965,1.196429,1.361502,0.165074,0.936583,0.796753,0.770662,0.822844,0.052182,0.980436,0.990218,0.980436,1.000000,0.019564,1.000000,7.000000,7.000000,7.000000,0.000000,51.930355,0.887868,1.106897,0.673309,0.307093,0.906318,53.009433,44.162821,0.755065,25.934851,0.443416,8.016954,0.137068,84.898947,111.382385,115.865169,106.899601,8.965568,0.922621
sample2_26h,56,20,27,0,-1,0.511789,3198.861111,2165.833333,4231.888889,2066.055556,0.676136,220.150331,177.612676,262.687986,85.075310,0.771207,1.205751,1.050000,1.361502,0.311502,0.893258,0.816708,0.770662,0.862754,0.092092,0.980436,0.990218,0.980436,1.000000,0.019564,0.857143,6.500000,6.000000,7.000000,1.000000,57.747735,1.034985,1.005917,0.629643,0.302747,0.743514,41.484937,48.001356,0.860305,28.285610,0.506949,15.588532,0.279386,70.003273,143.750168,147.305401,140.194936,7.110465,0.951730
sample2_26h,57,21,22,1,1,0.558137,2648.833333,1897.666667,3400.000000,1502.333333,0.768361,206.736071,179.655545,233.816597,54.161052,0.980138,1.061574,1.050926,1.072222,0.021296,0.945389,0.760177,0.738837,0.781516,0.042680,0.998947,0.999474,0.998947,1.000000,0.001053,0.714286,6.000000,5.000000,7.000000,2.000000,39.933632,0.783998,1.032609,0.779383,0.164349,1.189835,60.605280,34.175430,0.670950,19.911401,0.390911,7.789550,0.152929,18.557945,161.258692,166.683468,155.833916,10.849553,0.934909
sample2_26h,58,21,23,0,-1,0.503004,2835.166667,1897.666667,3772.666667,1875.000000,0.721280,214.367103,179.655545,249.078661,69.423116,0.861749,1.158231,1.072222,1.244240,0.172017,0.966859,0.751499,0.738837,0.764162,0.025325,0.998947,0.999474,0.998947,1.000000,0.001053,0.833333,5.500000,5.000000,6.000000,1.000000,54.599936,1.040155,1.068249,0.539791,0.549468,0.623028,32.704060,48.881213,0.931210,26.135671,0.497897,8.982735,0.171125,76.250613,120.103595,126.317590,113.889601,12.427990,0.901613
