job_index,split_index,split_id,model_name,feature_mode,status,elapsed_seconds,worker_pid,worker_log,summary_json,error
47,5,split_006,xgboost,selected4,succeeded,189.42367785051465,3101787,output/all_satisfying_primordia_splits/split_006/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_006/models/selected4/xgboost/training_summary.json,
48,5,split_006,lightgbm,selected4,succeeded,198.11643436923623,3101771,output/all_satisfying_primordia_splits/split_006/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_006/models/selected4/lightgbm/training_summary.json,
49,6,split_007,lr,all,succeeded,201.75801578350365,3101779,output/all_satisfying_primordia_splits/split_007/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_007/models/all/lr/training_summary.json,
50,6,split_007,svm,all,succeeded,168.29269054345787,3101783,output/all_satisfying_primordia_splits/split_007/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_007/models/all/svm/training_summary.json,
51,6,split_007,xgboost,all,succeeded,197.79341888427734,3101772,output/all_satisfying_primordia_splits/split_007/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_007/models/all/xgboost/training_summary.json,
52,6,split_007,lightgbm,all,succeeded,236.93078413419425,3101797,output/all_satisfying_primordia_splits/split_007/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_007/models/all/lightgbm/training_summary.json,
53,6,split_007,lr,selected4,succeeded,214.8825170248747,3101765,output/all_satisfying_primordia_splits/split_007/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_007/models/selected4/lr/training_summary.json,
54,6,split_007,svm,selected4,succeeded,171.56267536990345,3101799,output/all_satisfying_primordia_splits/split_007/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_007/models/selected4/svm/training_summary.json,
55,6,split_007,xgboost,selected4,succeeded,189.0108238849789,3101788,output/all_satisfying_primordia_splits/split_007/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_007/models/selected4/xgboost/training_summary.json,
56,6,split_007,lightgbm,selected4,succeeded,202.32952632382512,3101763,output/all_satisfying_primordia_splits/split_007/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_007/models/selected4/lightgbm/training_summary.json,
57,7,split_008,lr,all,succeeded,208.01839786954224,3101789,output/all_satisfying_primordia_splits/split_008/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_008/models/all/lr/training_summary.json,
58,7,split_008,svm,all,succeeded,178.36410549283028,3101775,output/all_satisfying_primordia_splits/split_008/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_008/models/all/svm/training_summary.json,
59,7,split_008,xgboost,all,succeeded,201.1409957613796,3101791,output/all_satisfying_primordia_splits/split_008/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_008/models/all/xgboost/training_summary.json,
60,7,split_008,lightgbm,all,succeeded,236.2530573271215,3101796,output/all_satisfying_primordia_splits/split_008/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_008/models/all/lightgbm/training_summary.json,
61,7,split_008,lr,selected4,succeeded,214.34416501782835,3101773,output/all_satisfying_primordia_splits/split_008/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_008/models/selected4/lr/training_summary.json,
62,7,split_008,svm,selected4,succeeded,174.10398671589792,3101781,output/all_satisfying_primordia_splits/split_008/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_008/models/selected4/svm/training_summary.json,
63,7,split_008,xgboost,selected4,succeeded,204.50655935145915,3101780,output/all_satisfying_primordia_splits/split_008/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_008/models/selected4/xgboost/training_summary.json,
64,7,split_008,lightgbm,selected4,succeeded,204.47453696653247,3101768,output/all_satisfying_primordia_splits/split_008/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_008/models/selected4/lightgbm/training_summary.json,
65,8,split_009,lr,all,succeeded,211.18027859926224,3101785,output/all_satisfying_primordia_splits/split_009/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_009/models/all/lr/training_summary.json,
66,8,split_009,svm,all,succeeded,176.5761438794434,3101793,output/all_satisfying_primordia_splits/split_009/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_009/models/all/svm/training_summary.json,
67,8,split_009,xgboost,all,succeeded,203.07803260162473,3101777,output/all_satisfying_primordia_splits/split_009/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_009/models/all/xgboost/training_summary.json,
68,8,split_009,lightgbm,all,succeeded,244.3202603198588,3101800,output/all_satisfying_primordia_splits/split_009/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_009/models/all/lightgbm/training_summary.json,
69,8,split_009,lr,selected4,succeeded,219.97974551655352,3101792,output/all_satisfying_primordia_splits/split_009/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_009/models/selected4/lr/training_summary.json,
70,8,split_009,svm,selected4,succeeded,175.70681725256145,3101767,output/all_satisfying_primordia_splits/split_009/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_009/models/selected4/svm/training_summary.json,
71,8,split_009,xgboost,selected4,succeeded,197.44320072419941,3101776,output/all_satisfying_primordia_splits/split_009/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_009/models/selected4/xgboost/training_summary.json,
72,8,split_009,lightgbm,selected4,succeeded,205.86348122544587,3101784,output/all_satisfying_primordia_splits/split_009/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_009/models/selected4/lightgbm/training_summary.json,
73,9,split_010,lr,all,succeeded,206.0331724602729,3101794,output/all_satisfying_primordia_splits/split_010/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_010/models/all/lr/training_summary.json,
74,9,split_010,svm,all,succeeded,176.89767275750637,3101786,output/all_satisfying_primordia_splits/split_010/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_010/models/all/svm/training_summary.json,
75,9,split_010,xgboost,all,succeeded,202.27370181307197,3101795,output/all_satisfying_primordia_splits/split_010/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_010/models/all/xgboost/training_summary.json,
