filename,cell_1_id,cell_2_id,cell_1_centroid_x,cell_1_centroid_y,cell_2_centroid_x,cell_2_centroid_y,division_timing,observed_division,estimated_division,distance,distance_normalized,area_ratio,area_diff,convex_deficiency,area_min,area_max,area_mean,perimeter_ratio,perimeter_min,perimeter_max,perimeter_mean,perimeter_diff,aspect_ratio,compactness_min,compactness_max,compactness_mean,compactness_diff,elongation_ratio,elongation_min,elongation_max,elongation_mean,elongation_diff,solidity_ratio,solidity_min,solidity_max,solidity_mean,solidity_diff,vertex_count_ratio,vertex_count_min,vertex_count_max,vertex_count_mean,vertex_count_diff,union_aspect_ratio,union_circularity,shared_edge_length,shared_edge_length_normalized,shared_edge_vertex_distance,shared_edge_vertex_distance_normalized,centroid_shared_edge_distance,centroid_shared_edge_distance_normalized,union_centroid_edge_distance,union_centroid_edge_distance_normalized,union_axis_shared_edge_angle,junction_angle_ratio,junction_angle_diff,junction_angle_min,junction_angle_max,junction_angle_mean
4d-WT-9-polygonal-network.json,3,10,525.794159,137.124235,498.748939,190.254827,-1,0,0,59.617982,1.301035,0.484803,1503.889972,0.585316,1415.165583,2919.055556,2167.110569,0.729824,152.812972,209.383368,181.098170,56.570396,0.978577,0.761547,0.836696,0.799122,0.075149,0.978577,1.195402,1.221571,1.208487,0.026169,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,5.000000,8.000000,6.500000,3.000000,1.207106,0.488606,14.161764,0.309050,45.317207,0.988952,29.808218,0.650501,11.061771,0.241400,86.312840,0.871105,14.087351,95.205635,109.292986,102.249310
4d-WT-9-polygonal-network.json,4,6,405.717425,142.716611,433.522862,161.182886,-1,0,0,33.378820,0.837477,0.615115,768.166667,0.320563,1227.666667,1995.833333,1611.750000,0.771004,140.807189,182.628299,161.717744,41.821110,0.892487,0.751966,0.778109,0.765038,0.026144,0.892487,1.027397,1.151163,1.089280,0.123766,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,4.000000,6.000000,5.000000,2.000000,1.086207,0.656120,37.481847,0.940422,29.226463,0.733294,16.628128,0.417201,4.443239,0.111481,2.234777,0.893302,14.311254,119.816997,134.128251,126.972624
4d-WT-9-polygonal-network.json,4,9,405.717425,142.716611,387.318938,175.582274,-1,0,0,37.665053,0.996636,0.746756,416.333333,0.264771,1227.666667,1644.000000,1435.833333,0.855607,140.807189,164.569933,152.688561,23.762744,0.962447,0.762800,0.778109,0.770455,0.015309,0.962447,1.027397,1.067485,1.047441,0.040087,1.000000,1.000000,1.000000,1.000000,0.000000,0.800000,4.000000,5.000000,4.500000,1.000000,1.188341,0.623092,32.360813,0.856283,33.840765,0.895444,18.752979,0.496213,2.419627,0.064025,74.231498,0.772130,38.920155,131.879618,170.799773,151.339696
4d-WT-9-polygonal-network.json,5,7,547.210008,155.968778,597.024609,173.007558,-1,0,0,52.648025,1.160504,0.595677,1060.299831,0.380585,1562.111111,2622.410942,2092.261026,0.773232,158.986819,205.613276,182.300047,46.626457,0.939170,0.776604,0.779486,0.778045,0.002882,0.939170,1.105960,1.177594,1.141777,0.071633,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,5.000000,7.000000,6.000000,2.000000,1.547666,0.572801,30.805844,0.679044,48.789228,1.075446,26.191614,0.577334,13.889645,0.306165,84.688607,0.673232,54.362680,112.001997,166.364678,139.183337
4d-WT-9-polygonal-network.json,5,10,547.210008,155.968778,498.748939,190.254827,-1,0,0,59.363359,1.269101,0.535143,1356.944444,0.533145,1562.111111,2919.055556,2240.583333,0.759310,158.986819,209.383368,184.185093,50.396549,0.925178,0.776604,0.836696,0.806650,0.060092,0.925178,1.105960,1.195402,1.150681,0.089442,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,5.000000,8.000000,6.500000,3.000000,1.151625,0.508800,17.845012,0.381500,43.996099,0.940572,29.653885,0.633956,10.016200,0.214132,85.869780,0.996831,0.322174,101.342431,101.664605,101.503518
4d-WT-9-polygonal-network.json,5,11,547.210008,155.968778,560.515102,200.649714,-1,0,0,46.619862,1.036115,0.613354,984.722222,0.304890,1562.111111,2546.833333,2054.472222,0.823315,158.986819,193.105707,176.046263,34.118888,0.983507,0.776604,0.858263,0.817433,0.081659,0.983507,1.087719,1.105960,1.096840,0.018241,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.400000,0.656804,35.854645,0.796861,38.396448,0.853352,23.265526,0.517071,10.532233,0.234076,82.917037,0.801413,30.911149,124.744347,155.655496,140.199922
4d-WT-9-polygonal-network.json,6,8,433.522862,161.182886,459.388626,175.610015,-1,0,1,29.617221,0.690618,0.846180,307.000000,0.001628,1688.833333,1995.833333,1842.333333,0.952934,174.032682,182.628299,178.330490,8.595617,0.985933,0.700705,0.751966,0.726335,0.051261,0.985933,1.134969,1.151163,1.143066,0.016193,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.040724,0.891029,64.350602,1.500536,25.035534,0.583782,14.776091,0.344551,1.744152,0.040670,15.937050,0.937794,11.085804,167.124286,178.210089,172.667188
4d-WT-9-polygonal-network.json,6,9,433.522862,161.182886,387.318938,175.582274,-1,0,0,48.395713,1.135769,0.823716,351.833333,0.514035,1644.000000,1995.833333,1819.916667,0.901120,164.569933,182.628299,173.599116,18.058366,0.927310,0.751966,0.762800,0.757383,0.010834,0.927310,1.067485,1.151163,1.109324,0.083678,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.406926,0.484345,19.947152,0.468128,40.494354,0.950337,23.992873,0.563074,5.267559,0.123621,68.796922,0.970495,2.773255,91.218875,93.992131,92.605503
4d-WT-9-polygonal-network.json,6,13,433.522862,161.182886,433.648820,222.429614,-1,0,0,61.246858,1.190483,0.588828,1393.666667,0.523768,1995.833333,3389.500000,2692.666667,0.803634,182.628299,227.253191,204.940745,44.624892,0.880373,0.751966,0.824756,0.788361,0.072790,0.880373,1.013453,1.151163,1.082308,0.137710,0.976051,0.976051,1.000000,0.988026,0.023949,0.666667,6.000000,9.000000,7.500000,3.000000,1.780269,0.500172,21.023796,0.408649,47.888229,0.930825,29.991567,0.582960,2.067870,0.040194,64.824843,0.483407,74.293974,69.521247,143.815221,106.668234
4d-WT-9-polygonal-network.json,7,11,597.024609,173.007558,560.515102,200.649714,-1,0,0,45.793372,0.900774,0.971180,75.577608,0.347010,2546.833333,2622.410942,2584.622137,0.939169,193.105707,205.613276,199.359492,12.507569,0.923680,0.779486,0.858263,0.818874,0.078777,0.923680,1.087719,1.177594,1.132657,0.089874,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.217154,0.657868,42.244000,0.830956,39.243993,0.771945,22.809854,0.448679,0.037061,0.000729,58.557601,0.863525,16.821102,106.432553,123.253655,114.843104
