file_name,first_cell_id,second_cell_id,hours_ago,divided
sample2_26h,0,1,1,1
sample2_26h,2,4,1,1
sample2_26h,3,9,1,1
sample2_26h,8,10,1,1
sample2_26h,17,18,1,1
sample2_26h,21,22,1,1
sample2_26h,6,5,1,1
sample2_26h,14,13,1,1
sample2_26h,11,19,1,1
sample2_26h,26,30,1,1
sample2_26h,23,25,1,1
sample2_26h,15,16,1,1
sample2_26h,7,12,1,1
sample2_26h,37,39,1,1
sample2_26h,31,32,1,1
sample2_26h,41,43,1,1
sample2_26h,38,40,1,1
sample2_26h,34,36,1,1
sample2_26h,42,45,1,1
sample2_26h,49,48,1,1
sample2_26h,46,47,1,1
sample2_26h,27,28,1,1
sample2_26h,29,35,1,1
